,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,area,start_location,distance_start_centroid,distance_start_cinema,geometry,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_fastest_mode,15_trip_duration,15_fastest_overall_mode,15_transit_dur,15_walk_share,18_fastest_mode,18_trip_duration,18_fastest_overall_mode,18_transit_dur,18_walk_share,21_fastest_mode,21_trip_duration,21_fastest_overall_mode,21_transit_dur,21_walk_share,average transit duration,average walk share,average changes,osm_cinemas,area average changes,level,level_dummy,cinemas,population aggr,population density,built-up area,transit departures,transit stops
25,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ankum,Krankenhaus,Mast2_15.csv",821.3,174.9,526.4,0.0,"Gloria Kinocenter Ankum_Ankum,Krankenhaus,Mast2_18.csv",821.3,174.9,526.4,0.0,"Gloria Kinocenter Ankum_Ankum,Krankenhaus,Mast2_21.csv",712.1,174.9,357.2,0.0,199.3,1059.8,Ankum,POINT (7.885333551765681 52.54562002349651),1369.7769826643062,1206.0387430032351,,2354.7,1.468450922931006,1.468450922931006,1.6936367687168026,1.5435128715262714,2155.4,transit,821.3,car,120.0,85.38901741142092,transit,821.3,car,120.0,85.38901741142092,transit,712.1,car,180.0,74.72265131301783,420.0,81.83356204528656,0.0,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
26,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ankum,A.-Schmidt-Weg,Mast1_15.csv",1354.3,707.9,526.4,0.0,"Gloria Kinocenter Ankum_Ankum,A.-Schmidt-Weg,Mast1_18.csv",1354.3,707.9,526.4,0.0,"Gloria Kinocenter Ankum_Ankum,A.-Schmidt-Weg,Mast1_21.csv",1245.1,707.9,357.2,0.0,189.3,902.1,Ankum,POINT (7.879077897140945 52.54816548193287),1464.856233637062,1009.0656269775396,,3953.7,0.7450827933083805,0.7450827933083805,0.8104293847703314,0.7668649904623641,3764.4,foot,902.1,car,120.0,91.13933397327033,foot,902.1,car,120.0,91.13933397327033,foot,902.1,car,180.0,85.54332985302385,420.0,89.2739992665215,0.0,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
27,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ankum,Bahnhof,Mast2_15.csv",606.8,360.6,126.2,0.0,"Gloria Kinocenter Ankum_Ankum,Bahnhof,Mast2_18.csv",606.8,360.6,126.2,0.0,"Gloria Kinocenter Ankum_Ankum,Bahnhof,Mast2_21.csv",606.8,360.6,126.2,0.0,104.6,251.7,Ankum,POINT (7.8684825287164495 52.54440221361342),1081.74654668503,313.3295113751703,,1820.4,0.5163637300184085,0.5163637300184085,0.5163637300184085,0.5163637300184085,1715.8,foot,251.7,car,119.99999999999994,80.22412656558998,foot,251.7,car,119.99999999999994,80.22412656558998,foot,251.7,car,119.99999999999994,80.22412656558998,359.99999999999983,80.22412656558998,0.0,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
28,Gloria Kinocenter Ankum,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,308.4,2707.6,Ankum,POINT (7.894250335839407 52.5194817459296),2225.543978150952,3004.294730266799,,,,,,,,foot,2707.6,car,,,foot,2707.6,car,,,foot,2707.6,car,,,,,,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
29,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ankum,Bahnhof,Mast2_15.csv",549.5,303.3,126.2,0.0,"Gloria Kinocenter Ankum_Ankum,Bahnhof,Mast2_18.csv",549.5,303.3,126.2,0.0,"Gloria Kinocenter Ankum_Ankum,Bahnhof,Mast2_21.csv",549.5,303.3,126.2,0.0,124.4,194.4,Ankum,POINT (7.868948824378596 52.54377490651965),1005.2640919646516,242.84580083473844,,1648.5,0.4419395829567578,0.4419395829567578,0.4419395829567578,0.4419395829567578,1524.1,foot,194.4,car,120.0,78.16196542311192,foot,194.4,car,120.0,78.16196542311192,foot,194.4,car,120.0,78.16196542311192,360.0,78.16196542311192,0.0,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
30,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Merzen,Forsthaus,Mast1_15.csv",3006.5,2657.6,108.9,0.0,"Gloria Kinocenter Ankum_Merzen,Forsthaus,Mast1_18.csv",3006.5,2657.6,108.9,0.0,"Gloria Kinocenter Ankum_Merzen,Forsthaus,Mast1_21.csv",3006.5,2657.6,108.9,0.0,506.2,3429.7,Ankum,POINT (7.830369505960643 52.513501015887556),3841.387835945983,4070.874187459996,,9019.5,1.354024343076666,1.354024343076666,1.354024343076666,1.354024343076666,8513.3,transit,3006.5,car,240.0,92.01729585897225,transit,3006.5,car,240.0,92.01729585897225,transit,3006.5,car,240.0,92.01729585897225,720.0,92.01729585897225,0.0,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
31,Gloria Kinocenter Ankum,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,435.0,3546.9,Ankum,POINT (7.892235450000001 52.5814307),5271.240858200673,4707.240082560667,,,,,,,,foot,3546.9,car,,,foot,3546.9,car,,,foot,3546.9,car,,,,,,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
32,Gloria Kinocenter Ankum,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,330.0,3631.3,Ankum,POINT (7.917151000116626 52.515389304574015),3660.625454126387,4387.15804080452,,,,,,,,foot,3631.3,car,,,foot,3631.3,car,,,foot,3631.3,car,,,,,,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
33,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ankum,B214See,Mast2_15.csv",592.6,363.7,108.9,0.0,"Gloria Kinocenter Ankum_Ankum,B214See,Mast2_18.csv",592.6,363.7,108.9,0.0,"Gloria Kinocenter Ankum_Ankum,B214See,Mast2_21.csv",669.9,363.7,126.2,0.0,136.3,765.8,Ankum,POINT (7.8800975499999995 52.5450796),1154.8897776527745,857.3899027692951,,1855.1,1.4468273755809906,1.4468273755809906,1.279877448528579,1.3911773998968535,1718.8,transit,592.6,car,120.0,79.75025312183598,transit,592.6,car,120.0,79.75025312183598,transit,669.9,car,180.0,73.13031795790417,420.0,77.54360806719204,0.0,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
34,Gloria Kinocenter Ankum,"Gloria Kinocenter Ankum_Ankum,Sonnenhügel,Mast2_15.csv",597.2,351.0,126.2,0.0,"Gloria Kinocenter Ankum_Ankum,Sonnenhügel,Mast2_18.csv",597.2,351.0,126.2,0.0,"Gloria Kinocenter Ankum_Ankum,Sonnenhügel,Mast2_21.csv",597.2,351.0,126.2,0.0,80.7,242.1,Ankum,POINT (7.865258984479657 52.54104031704764),879.686635059403,249.4219554039148,,1791.6,0.4176523030876001,0.4176523030876001,0.4176523030876001,0.4176523030876001,1710.9,foot,242.1,car,120.00000000000006,79.90622906898861,foot,242.1,car,120.00000000000006,79.90622906898861,foot,242.1,car,120.00000000000006,79.90622906898861,360.00000000000017,79.90622906898861,0.0,1,0.0,base,1,1,8035,121.19,12.58,796.0,43.0
