,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,area,start_location,distance_start_centroid,distance_start_cinema,geometry,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_fastest_mode,15_trip_duration,15_fastest_overall_mode,15_transit_dur,15_walk_share,18_fastest_mode,18_trip_duration,18_fastest_overall_mode,18_transit_dur,18_walk_share,21_fastest_mode,21_trip_duration,21_fastest_overall_mode,21_transit_dur,21_walk_share,average transit duration,average walk share,population,level,level_dummy,cinemas,population aggr,population density,built-up area,transit departures,transit stops,osm_cinemas,average changes,area average changes
20,Filmwelt Landau,"Filmwelt Landau_Queichheim,Otto-Hahn-Straße_15.csv",446.1,256.0,130.1,0,"Filmwelt Landau_Queichheim,Otto-Hahn-Straße_18.csv",446.1,256.0,130.1,0.0,"Filmwelt Landau_Queichheim,Otto-Hahn-Straße_21.csv",1003.4,813.3,130.1,0.0,284.8,1034.8,Landau in der Pfalz,POINT (8.1347797 49.197627649999994),6878.518377570379,1107.415322211829,,1895.6,2.482437395677716,2.482437395677716,1.1036628684590684,2.0228458866048333,1610.8,transit,446.1,car,60.0,86.55010087424344,transit,446.1,car,60.0,86.55010087424344,transit,1003.4,car,60.0,94.02033087502492,180.0,267.1205326235118,4907.0,mid,2,2,47610,574.03,24.95,6234,90,2,0.0,0.4072164948453608
21,Universum Kinocenter,"Universum Kinocenter_Queichheim,Otto-Hahn-Straße_15.csv",1101.6,256.0,185.6,1,"Universum Kinocenter_Queichheim,Otto-Hahn-Straße_18.csv",1101.6,256.0,185.6,1.0,no routes possible to this cinema,,,,,459.7,1264.8,Landau in der Pfalz,POINT (8.1347797 49.197627649999994),6878.518377570379,1448.0222304093734,,,1.3144718867187486,1.3144718867187486,,,,transit,1101.6,car,659.9999999999999,40.08714596949892,transit,1101.6,car,659.9999999999999,40.08714596949892,foot,1264.8,car,,,,,732.0,mid,2,2,47610,574.03,24.95,6234,90,2,,0.4072164948453608
22,Filmwelt Landau,"Filmwelt Landau_Landau,Westbahnhof_15.csv",1025.9,295.8,130.1,0,"Filmwelt Landau_Landau,Westbahnhof_18.csv",1556.7,418.6,658.1,0.0,"Filmwelt Landau_Landau,Westbahnhof_21.csv",1553.9,295.8,658.1,0.0,489.5,1606.9,Landau in der Pfalz,POINT (8.113239403683185 49.197517589267825),5526.727793540103,1729.5234115308087,,4136.5,1.6858596466817513,1.111019086227795,1.1130210512457743,1.3032999280517736,3647.0,transit,1025.9,car,600.0000000000001,41.51476752120089,transit,1556.7,car,480.0,69.16554249373675,transit,1553.9,car,600.0,61.38747667160049,1680.0,172.06778668653814,660.0,mid,2,2,47610,574.03,24.95,6234,90,2,0.0,0.4072164948453608
23,Universum Kinocenter,"Universum Kinocenter_Landau,Westbahnhof_15.csv",774.8,404.5,190.3,0,"Universum Kinocenter_Landau,Westbahnhof_18.csv",714.8,404.5,190.3,0.0,"Universum Kinocenter_Landau,Westbahnhof_21.csv",774.8,404.5,190.3,0.0,350.5,148.6,Landau in der Pfalz,POINT (8.113239403683185 49.197517589267825),5526.727793540103,155.8681735708353,,2264.4,0.2011721393531689,0.2180584409217058,0.2011721393531689,0.2068009065426812,1913.9,foot,148.6,car,180.0,76.76819824470832,foot,148.6,car,120.0,83.21208729714606,foot,148.6,car,180.0,76.76819824470832,480.0,236.74848378656267,660.0,mid,2,2,47610,574.03,24.95,6234,90,2,0.0,0.4072164948453608
24,Filmwelt Landau,"Filmwelt Landau_Landau,UniAlterMeßplatz_15.csv",1339.8,429.7,130.1,0,"Filmwelt Landau_Landau,UniAlterMeßplatz_18.csv",1339.8,429.7,130.1,0.0,"Filmwelt Landau_Landau,UniAlterMeßplatz_21.csv",1285.6,495.5,130.1,0.0,401.9,1492.5,Landau in der Pfalz,POINT (8.112826418343126 49.19565482522544),5620.706869555697,1634.544428414397,,3965.2,1.2199913631992814,1.2199913631992814,1.2714253487977576,1.2371360250654402,3563.3,transit,1339.8,car,780.0,41.78235557545902,transit,1339.8,car,780.0,41.78235557545902,transit,1285.6,car,659.9999999999999,48.66210329807095,2220.0,132.226814448989,660.0,mid,2,2,47610,574.03,24.95,6234,90,2,0.0,0.4072164948453608
25,Universum Kinocenter,"Universum Kinocenter_Landau,UniAlterMeßplatz_15.csv",908.4,495.5,292.9,0,"Universum Kinocenter_Landau,UniAlterMeßplatz_18.csv",908.4,495.5,292.9,0.0,"Universum Kinocenter_Landau,UniAlterMeßplatz_21.csv",539.7,234.1,185.6,0.0,123.6,165.0,Landau in der Pfalz,POINT (8.112826418343126 49.19565482522544),5620.706869555697,192.7296807883357,,2356.5,0.2121638934261731,0.2121638934261731,0.3571052080569496,0.2604776649697653,2232.9,foot,165.0,car,120.0,86.78996036988111,foot,165.0,car,120.0,86.78996036988111,foot,165.0,car,120.00000000000006,77.76542523624235,360.00000000000006,251.34534597600447,4154.0,mid,2,2,47610,574.03,24.95,6234,90,2,0.0,0.4072164948453608
26,Filmwelt Landau,"Filmwelt Landau_Landau,Zoo(Abzw.Uni)_15.csv",1046.6,496.5,130.1,0,"Filmwelt Landau_Landau,Zoo(Abzw.Uni)_18.csv",1446.1,308.0,658.1,0.0,"Filmwelt Landau_Landau,Zoo(Abzw.Uni)_21.csv",1488.8,230.7,658.1,0.0,425.0,1585.5,Landau in der Pfalz,POINT (8.110669063489242 49.19564967429368),5494.511820316935,1769.47840182065,,3981.5,1.6906921477361458,1.2236210509789436,1.1885265998257994,1.3676132661802964,3556.5,transit,1046.6,car,419.9999999999999,59.87005541754253,transit,1446.1,car,479.9999999999999,66.80727473895304,transit,1488.8,car,600.0,59.699086512627616,1499.9999999999998,186.3764166691232,660.0,mid,2,2,47610,574.03,24.95,6234,90,2,0.0,0.4072164948453608
27,Universum Kinocenter,"Universum Kinocenter_Landau,Zoo(Abzw.Uni)_15.csv",933.2,308.0,565.2,0,"Universum Kinocenter_Landau,Zoo(Abzw.Uni)_18.csv",708.2,189.9,398.3,0.0,"Universum Kinocenter_Landau,Zoo(Abzw.Uni)_21.csv",768.2,189.9,398.3,0.0,277.0,271.3,Landau in der Pfalz,POINT (8.110669063489242 49.19564967429368),5494.511820316935,332.8484147570638,,2409.6000000000004,0.3566742549904241,0.4699921134666249,0.4332835391266125,0.4199833025278872,2132.6000000000004,foot,271.3,car,60.0,93.57051007286756,foot,271.3,car,120.0,83.05563400169443,foot,271.3,car,180.0,76.56860192658162,360.0,253.1947460011436,660.0,mid,2,2,47610,574.03,24.95,6234,90,2,0.0,0.4072164948453608
28,Filmwelt Landau,"Filmwelt Landau_Landau,DeutschesTor_15.csv",3152.6,1354.5,658.1,0,"Filmwelt Landau_Landau,DeutschesTor_18.csv",3152.6,1354.5,658.1,0.0,"Filmwelt Landau_Landau,DeutschesTor_21.csv",3679.7,980.9,778.8,1.0,346.1,1352.2,Landau in der Pfalz,POINT (8.1131656 49.193314),5796.678820200635,1490.0716644122997,,9984.9,0.4726485010506565,0.4726485010506565,0.4049437900949261,0.450080264065413,9638.8,foot,1352.2,car,1140.0,63.83937067817039,foot,1352.2,car,1140.0,63.83937067817039,foot,1352.2,car,1920.0,47.82183330162785,4200.0,175.50057465796863,732.0,mid,2,2,47610,574.03,24.95,6234,90,2,1.0,0.4072164948453608
29,Universum Kinocenter,"Universum Kinocenter_Landau,DeutschesTor_15.csv",2393.7,1354.5,379.2,0,"Universum Kinocenter_Landau,DeutschesTor_18.csv",1979.5,1386.6,292.9,0.0,"Universum Kinocenter_Landau,DeutschesTor_21.csv",317.8,12.2,185.6,0.0,198.0,386.1,Landau in der Pfalz,POINT (8.1131656 49.193314),5796.678820200635,396.5421655528468,,4691.0,0.1656607618134465,0.2003244079579928,1.2477727046974412,0.5379192914896268,4493.0,foot,386.1,car,659.9999999999998,72.42762250908636,foot,386.1,car,300.0,84.844657741854,transit,317.8,car,120.00000000000004,62.240402769037125,1079.9999999999998,219.5126830199775,4907.0,mid,2,2,47610,574.03,24.95,6234,90,2,0.0,0.4072164948453608
