,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,distance_start_centroid,distance_start_cinema,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_trip_duration,15_transit_dur,15_walk_share,18_trip_duration,18_transit_dur,18_walk_share,21_trip_duration,21_transit_dur,21_walk_share,average transit duration,average walk share,population,cinemas,population aggr,population density,transit departures,transit stops,osm_cinemas,average changes,area,start_location,15 fastest mode,18 fastest mode,21 fastest mode,15 transit is fastest,18 transit is fastest,21 transit is fastest,15 min cinema dur,15 most accessible cinema,18 min cinema dur,18 most accessible cinema,21 min cinema dur,21 most accessible cinema,15 max cinema dur,15 least accessible cinema,18 max cinema dur,18 least accessible cinema,21 max cinema dur,21 least accessible cinema
0,756.6500000000001,163.775,157.875,0.25,756.6500000000001,163.775,157.875,0.25,787.925,210.05,157.875,0.0,499.625,1386.875,511.68572453915215,1608.9428425390402,2301.225,2.3460193467591095,2.3460193467591095,2.248664322226712,2.3135676719149774,1801.6,756.6500000000001,435.0,45.220911084759784,756.6500000000001,435.0,45.220911084759784,787.925,420.0,48.58087066263772,1290.0,139.0226928321573,3413.75,5.0,162273.0,1491.07,47709.0,238.0,4.0,0.5,Heidelberg,POINT (8.687333483805944 49.40466744199235),transit,transit,transit,100.0,100.0,100.0,365.6,Die Kamera,365.6,Die Kamera,365.6,Die Kamera,1142.7,Karlstorkino,1142.7,Karlstorkino,1061.6,Karlstorkino
0,1854.65,391.6,593.05,0.75,1854.65,391.6,593.05,0.75,1905.8,388.32500000000005,662.4749999999999,0.5,699.2249999999999,2816.3,3075.8479412801817,3239.7556113411274,5615.099999999999,1.7125643224128768,1.7125643224128768,1.6675409837423842,1.697556542856046,4915.875,1854.65,870.0,55.38552203965722,1854.65,870.0,55.38552203965722,1905.8,855.0,57.58336139154994,2595.0,168.35440547086438,5397.25,5.0,162273.0,1491.07,47709.0,238.0,4.0,2.0,Heidelberg,POINT (8.680101084036169 49.43154713285661),transit,transit,transit,100.0,100.0,100.0,1279.5,Die Kamera,1279.5,Die Kamera,1279.5,Die Kamera,2326.5,Karlstorkino,2326.5,Karlstorkino,2566.5,Karlstorkino
0,1275.675,517.8,157.875,0.75,1260.675,517.8,157.875,0.75,1426.2250000000001,543.15,298.07500000000005,0.5,603.825,2121.525,1989.2267695040368,2274.465433816847,3962.575,1.729109481604012,1.7476455202179457,1.5737315214645782,1.6834955077621787,3358.75,1275.675,600.0,55.19706297191392,1260.675,585.0,55.94633458227863,1308.95,585.0,59.89012903146862,1770.0,171.03352658566115,2263.75,5.0,162273.0,1491.07,47709.0,238.0,4.0,2.0,Heidelberg,POINT (8.683114859253369 49.42181531892738),transit,transit,transit,100.0,100.0,75.0,784.9,Die Kamera,784.9,Die Kamera,1290.3,Luxor Filmpalast Heidelberg,1546.6,Gloria & Gloriette,1546.6,Gloria & Gloriette,1540.9,Karlstorkino
0,1712.325,578.875,503.45,0.5,1712.325,578.875,503.45,0.5,3001.925,486.1,325.825,2.0,735.1499999999999,3013.2,3990.252329736943,3647.2176500393343,6426.574999999999,2.0999338023595677,2.0999338023595677,1.3576561378288545,1.8525079141826633,5691.425,1712.325,630.0,64.7739780764887,1712.325,630.0,64.7739780764887,2707.15,2190.0,39.572274018354406,3450.0,169.12023017133177,3600.0,5.0,162273.0,1491.07,47709.0,238.0,4.0,3.0,Heidelberg,POINT (8.639649971668016 49.40130665503644),transit,transit,both,100.0,100.0,50.0,1087.2,Luxor Filmpalast Heidelberg,1087.2,Luxor Filmpalast Heidelberg,1087.2,Luxor Filmpalast Heidelberg,1966.4,Die Kamera,1966.4,Die Kamera,4566.3,Gloria & Gloriette
0,1119.75,586.875,157.875,0.0,1119.75,586.875,157.875,0.0,1119.75,586.875,157.875,0.0,485.9,1649.0750000000003,1354.109323786006,1812.0490486251688,3359.25,1.4425985517397002,1.4425985517397002,1.463590365024971,1.4495958228347905,2873.35,1060.925,374.99999999999994,71.89591537806231,1060.925,374.99999999999994,71.89591537806231,1060.925,374.99999999999994,72.74880809219094,1124.9999999999998,216.54063884831552,311.25,5.0,162273.0,1491.07,47709.0,238.0,4.0,0.0,Heidelberg,POINT (8.68966481525779 49.417274168229916),transit,transit,transit,75.0,75.0,75.0,495.5,Die Kamera,495.5,Die Kamera,495.5,Die Kamera,1679.6,Karlstorkino,1679.6,Karlstorkino,1679.6,Karlstorkino
0,1942.4499999999998,969.8,237.65,0.5,1942.4499999999998,969.8,237.65,0.5,2078.1666666666665,1024.2333333333333,273.93333333333334,0.3333333333333333,710.15,3050.2,3435.3880634992515,3576.423044382046,5954.5,1.9036043171355663,1.9036043171355663,1.7225887143887049,1.7810872518569265,5299.566666666667,1832.6499999999999,735.0,62.21126999058403,1832.6499999999999,735.0,62.21126999058403,2365.6,780.0,64.4079100983693,2060.0,198.4152354364609,,5.0,162273.0,1491.07,47709.0,238.0,4.0,1.0,Heidelberg,POINT (8.69196215 49.37460769999999),transit,transit,both,75.0,75.0,50.0,1553.6,Die Kamera,1553.6,Die Kamera,1553.6,Die Kamera,2299.0,Luxor Filmpalast Heidelberg,2299.0,Luxor Filmpalast Heidelberg,2719.0,Luxor Filmpalast Heidelberg
0,1089.925,332.05,157.875,0.5,1089.925,332.05,157.875,0.5,1177.85,299.975,157.875,0.75,537.2750000000001,2063.7,1679.371135480692,2394.290507174964,3357.7000000000003,2.1132604104960473,2.1132604104960473,2.0076382814969396,2.0780530341630117,2820.425,1089.925,600.0,56.8740543673922,1089.925,600.0,56.8740543673922,1177.85,720.0,48.49982989122739,1920.0,162.24793862601177,,5.0,162273.0,1491.07,47709.0,238.0,4.0,1.75,Heidelberg,POINT (8.71500151199866 49.412204685252306),transit,transit,transit,100.0,100.0,100.0,426.0,Gloria & Gloriette,426.0,Gloria & Gloriette,426.0,Gloria & Gloriette,1810.0,Karlstorkino,1810.0,Karlstorkino,1931.4,Karlstorkino
0,806.275,292.8,213.475,0.0,806.275,292.8,213.475,0.0,828.175,305.9,192.275,0.0,492.34999999999997,1308.825,428.2653982056124,1579.0761030919596,2440.7250000000004,1.9435878099912982,1.9435878099912982,1.900764629534268,1.9293134165056214,1948.375,806.275,300.0,68.35822088489957,806.275,300.0,68.35822088489957,828.175,330.0,65.18318954720596,930.0,201.89963131700512,,5.0,162273.0,1491.07,47709.0,238.0,4.0,0.0,Heidelberg,POINT (8.690676764559118 49.4085242817006),transit,transit,transit,100.0,100.0,100.0,380.7,Die Kamera,380.7,Die Kamera,380.7,Die Kamera,1136.7,Karlstorkino,1136.7,Karlstorkino,1136.7,Karlstorkino
0,998.2249999999999,435.34999999999997,157.875,0.0,997.4000000000001,419.525,157.875,0.0,1027.4,419.525,157.875,0.0,467.425,1450.7749999999999,650.8965395570855,1666.9523737434042,3023.025,1.8170731869112438,1.8206969200124565,1.7505149412735508,1.7960950160657503,2555.6,998.2249999999999,405.0,61.36298906239999,997.4000000000001,420.0,58.79851390388606,1027.4,450.0,57.461251121061935,1275.0,177.62275408734797,,5.0,162273.0,1491.07,47709.0,238.0,4.0,0.0,Heidelberg,POINT (8.687325138639567 49.40177170417403),transit,transit,transit,100.0,100.0,100.0,597.9,Die Kamera,594.6,Die Kamera,594.6,Die Kamera,1412.1,Karlstorkino,1412.1,Karlstorkino,1293.9,Karlstorkino
0,1845.0500000000002,872.4,237.65,0.5,1845.0500000000002,872.4,237.65,0.5,1980.7666666666664,926.8333333333334,273.93333333333334,0.3333333333333333,681.5250000000001,2953.925,3315.406159782812,3451.4996846085246,5662.3,1.9415814320251976,1.9415814320251976,1.7495781228821032,1.8107176604080404,5035.966666666666,1730.3250000000003,735.0,60.16425094228807,1730.3250000000003,735.0,60.16425094228807,2266.3,780.0,62.61085864996403,2060.0,192.98265738427267,,5.0,162273.0,1491.07,47709.0,238.0,4.0,1.0,Heidelberg,POINT (8.691144229220681 49.37572017560547),transit,transit,both,75.0,75.0,50.0,1456.2,Die Kamera,1456.2,Die Kamera,1456.2,Die Kamera,2201.6,Luxor Filmpalast Heidelberg,2201.6,Luxor Filmpalast Heidelberg,2621.6,Luxor Filmpalast Heidelberg
