,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,distance_start_centroid,distance_start_cinema,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_trip_duration,15_transit_dur,15_walk_share,18_trip_duration,18_transit_dur,18_walk_share,21_trip_duration,21_transit_dur,21_walk_share,average transit duration,average walk share,population,cinemas,population aggr,population density,built-up area,transit departures,transit stops,area,osm_cinemas,start_location,15 transit is reasonable,18 transit is reasonable,21 transit is reasonable,15 min cinema dur,15 most accessible cinema,18 min cinema dur,18 most accessible cinema,21 min cinema dur,21 most accessible cinema,15 max cinema dur,15 least accessible cinema,18 max cinema dur,18 least accessible cinema,21 max cinema dur,21 least accessible cinema,average changes,area average changes,level,level_dummy
32,1475.75,57.1,518.65,0,1427.55,232.05,475.5,0,3160.4,461.6,778.8,1,471.15,1618,5328.07286514912,1834.00599649617,6870.8,1.22208147530483,1.27711456755275,0.764593012733435,1.12320548945461,6330.2,1454.45,900,39.1743001480105,1427.55,720,54.2740496559358,1618,1920,39.2481964308315,4200,116.350395654635,1527,2,47610,574.03,24.95,6234,90,Landau in der Pfalz,2,POINT (8.11836848464402 49.207715754121274),50,100,0,1096.3,Universum Kinocenter,999.9,Universum Kinocenter,3160.4,Filmwelt Landau,1855.2,Filmwelt Landau,1855.2,Filmwelt Landau,3160.4,Filmwelt Landau,1,0.443877551020408,mid,2
33,1573.55,805.9,347.65,0,1603.4,889.2,264.2,0,1975.75,1057.55,528.2,0,397.95,1414.95,5338.46998802574,1588.39948893618,5152.7,1.07649318516588,0.997898791936401,0.774232947818963,0.949541641640415,4754.75,1085.45,420,69.9650781915405,1184.9,450,71.5611740467728,1414.95,390,81.4041236513338,1260,222.930375889647,2783.5,2,47610,574.03,24.95,6234,90,Landau in der Pfalz,2,POINT (8.1168986 49.20522334999999),50,50,0,1376.1,Filmwelt Landau,1575,Filmwelt Landau,1691.8,Universum Kinocenter,1771,Universum Kinocenter,1631.8,Universum Kinocenter,2259.7,Filmwelt Landau,0,0.443877551020408,mid,2
34,1567.7,626.05,611.65,0,1313.7,525.05,518.65,0,1203.45,421.6,421.85,0,432.75,1031.25,5362.03758124136,1116.87469620835,4084.85,0.712748384549114,0.745552908692951,0.804570483771033,0.754290592337699,3652.1,934.4,330,78.9390596943269,977.85,270,82.4054971754899,934.4,360,73.7103143778801,960,235.054871247697,4530.5,2,47610,574.03,24.95,6234,90,Landau in der Pfalz,2,POINT (8.11196285987154 49.19893606630535),50,50,50,1566.7,Filmwelt Landau,973.8,Universum Kinocenter,840.2,Universum Kinocenter,1568.7,Universum Kinocenter,1653.6,Filmwelt Landau,1566.7,Filmwelt Landau,0,0.443877551020408,mid,2
35,1186.65,525.15,211.5,0,1275.75,500.25,475.5,0,1097.8,496.3,211.5,0,351.7,826.75,5688.06543139601,857.753233527758,3560.2,0.613012329923647,0.554270981244865,0.687794851184566,0.618359387451026,3208.5,808.7,450,66.7632671457337,826.75,300,78.7871403187813,719.85,390,67.7478068303445,1140,213.298214294859,2225,2,47610,574.03,24.95,6234,90,Landau in der Pfalz,2,POINT (8.116005337653016 49.19763157186173),50,0,50,909.2,Universum Kinocenter,909.2,Universum Kinocenter,909.2,Universum Kinocenter,1464.1,Filmwelt Landau,1642.3,Filmwelt Landau,1286.4,Filmwelt Landau,0,0.443877551020408,mid,2
36,1138.2,93.1,685.1,0.5,1138.2,93.1,685.1,0.5,1246.73333333333,657.7,489.033333333333,0,310.25,1007.7,6936.70594058785,1164.01050409935,3584.6,1.04732637485418,1.04732637485418,0.874685073622518,0.922157255259046,3303.5,958.95,360,66.0130113603871,958.95,360,66.0130113603871,1007.7,100,91.8070568356738,620,243.240096690269,2131,2,47610,574.03,24.95,6234,90,Landau in der Pfalz,4,POINT (8.13432676108068 49.195914865759704),50,50,0,1046,Universum Kinocenter,1046,Universum Kinocenter,1185.4,Universum Kinocenter,1230.4,Filmwelt Landau,1230.4,Filmwelt Landau,1277.4,Filmwelt Landau,1,0.443877551020408,mid,2
37,1300.8,546.6,424.2,0,824.1,393.9,160.2,0,1271.5,301.3,160.2,0.5,275.2,739.75,6094.80102714827,789.430367005673,3396.4,0.642629483156696,0.903572861257349,0.698520434407975,0.748240926274007,3121.2,739.75,330,80.0068042720839,713.8,270,72.176861175562,739.75,810,55.760187136974,1410,207.94385258462,2407,2,47610,574.03,24.95,6234,90,Landau in der Pfalz,2,POINT (8.11895589260789 49.19394604659725),0,50,0,594.5,Universum Kinocenter,594.5,Universum Kinocenter,508.7,Universum Kinocenter,2007.1,Filmwelt Landau,1053.7,Filmwelt Landau,2034.3,Filmwelt Landau,0.5,0.443877551020408,mid,2
38,1861.1,823.45,347.65,0,1568.2,779.55,518.65,0,1555.4,773.55,421.85,0,275.45,936.8,5919.58219983372,952.012364734751,4984.7,0.495980044890151,0.564829800598681,0.568503605160712,0.543104483549848,4709.25,936.8,690,65.0441807271567,936.8,270,85.0621893962275,936.8,360,79.6795014271805,1320,229.785871550565,3934.5,2,47610,574.03,24.95,6234,90,Landau in der Pfalz,2,POINT (8.120586509193226 49.19854917266143),0,0,0,1735.9,Universum Kinocenter,1210,Universum Kinocenter,1076.4,Universum Kinocenter,1986.3,Filmwelt Landau,1926.4,Filmwelt Landau,2034.4,Filmwelt Landau,0,0.443877551020408,mid,2
39,1392.5,602.3,160.2,0,1189.9,609.7,160.2,0.5,1388.95,634.75,424.2,0,287.75,1013.75,5702.04339334353,1033.72869845678,3971.35,0.668143427178554,0.791225946460645,0.671590784736949,0.710320052792049,3683.6,1013.75,630,62.9152581886001,948.95,420,68.8173484158044,1013.75,330,80.8695193507434,1380,212.602125955148,4530.5,2,47610,574.03,24.95,6234,90,Landau in der Pfalz,2,POINT (8.118187945308275 49.19973984078206),0,50,0,920,Universum Kinocenter,920,Universum Kinocenter,860,Universum Kinocenter,1865,Filmwelt Landau,1459.8,Filmwelt Landau,1917.9,Filmwelt Landau,0.5,0.443877551020408,mid,2
40,1049.5,559.3,160.2,0,1135.45,615.25,160.2,0.5,1321.65,507.45,424.2,0,415.35,1090.45,5370.18510220553,1150.861084961,3506.6,1.02092474026616,0.90628143098913,0.766788992376144,0.897998387877146,3091.25,779.75,330,71.3405861757323,887.55,360,71.661139771654,1043.75,390,72.8129651986609,1080,215.814691146047,3387.5,2,47610,574.03,24.95,6234,90,Landau in der Pfalz,2,POINT (8.113040599205995 49.19991094695693),50,50,50,917.4,Universum Kinocenter,873.7,Universum Kinocenter,933.7,Universum Kinocenter,1181.6,Filmwelt Landau,1397.2,Filmwelt Landau,1709.6,Filmwelt Landau,0.5,0.443877551020408,mid,2
41,1269.1,433.6,475.5,0,1005.1,433.6,211.5,0,1050.65,532.8,157.85,0,374.6,1015.05,5459.90599891438,1071.39709643755,3324.85,0.726213637046938,0.971359043249032,0.953294627079713,0.883622435791894,2950.25,1004.05,360,75.1783498328817,740.05,360,67.1321503843298,740.05,360,67.8208424288657,1080,210.131342646077,1527,2,47610,574.03,24.95,6234,90,Landau in der Pfalz,2,POINT (8.114054233325428 49.19945069262224),50,50,50,846.5,Universum Kinocenter,846.5,Universum Kinocenter,937.6,Universum Kinocenter,1691.7,Filmwelt Landau,1163.7,Filmwelt Landau,1163.7,Filmwelt Landau,0,0.443877551020408,mid,2
