,nan,field_1,Unnamed: 0,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,example_for,start_location,distance_start_centroid,distance_start_cinema,geometry
138,138,38,3.0,Cineplex Aachen,Cineplex Aachen_Schanz-HBF(13)H2_15.csv,420.3,190.3,170.0,0,Cineplex Aachen_Schanz-HBF(13)H2_18.csv,420.3,190.3,170.0,0,Cineplex Aachen_Schanz-HBF(13)H2_21.csv,420.3,190.3,170.0,0.0,201.3,750.2,Aachen,POINT (6.0785622615040165 50.76650294890928),2460.59825318673,811.97489994082,
139,139,39,4.0,Eden Palast,Eden Palast_Schanz-HBF(13)H2_15.csv,431.8,190.5,121.3,0,Eden Palast_Schanz-HBF(13)H2_18.csv,431.8,190.5,121.3,0,Eden Palast_Schanz-HBF(13)H2_21.csv,594.9,190.3,224.6,0.0,192.4,711.8,Aachen,POINT (6.0785622615040165 50.76650294890928),2460.59825318673,687.104390794618,
140,140,40,0.0,Apollo Kino,Apollo Kino_AachenBushofH5_15.csv,547.7,111.9,75.8,0,Apollo Kino_AachenBushofH5_18.csv,547.7,111.9,75.8,1,Apollo Kino_AachenBushofH5_21.csv,654.8,279.0,75.8,1.0,446.4,960.5,Aachen,POINT (6.091083776358926 50.77502009985853),2298.24654803619,1062.51539742735,
141,141,41,1.0,Capitol,Capitol_AachenBushofH5_15.csv,391.4,111.9,99.5,0,Capitol_AachenBushofH5_18.csv,391.4,111.9,99.5,0,Capitol_AachenBushofH5_21.csv,438.5,279.0,99.5,0.0,325.6,397.2,Aachen,POINT (6.091083776358926 50.77502009985853),2298.24654803619,454.923652236175,
142,142,42,2.0,,None_AachenBushofH5_15.csv,571.8,240.2,151.6,0,None_AachenBushofH5_18.csv,571.8,240.2,151.6,0,None_AachenBushofH5_21.csv,588.8,296.1,172.7,0.0,221.2,447.9,Aachen,POINT (6.091083776358926 50.77502009985853),2298.24654803619,482.283958604899,
143,143,43,3.0,Cineplex Aachen,Cineplex Aachen_AachenBushofH5_15.csv,596.9,240.2,176.7,0,Cineplex Aachen_AachenBushofH5_18.csv,596.9,240.2,176.7,0,Cineplex Aachen_AachenBushofH5_21.csv,586.1,296.1,170.0,0.0,150.5,434.5,Aachen,POINT (6.091083776358926 50.77502009985853),2298.24654803619,490.060471741525,
144,144,44,4.0,Eden Palast,Eden Palast_AachenBushofH5_15.csv,541.5,240.2,121.3,0,Eden Palast_AachenBushofH5_18.csv,541.5,240.2,121.3,0,Eden Palast_AachenBushofH5_21.csv,520.3,279.0,121.3,0.0,242.2,621.4,Aachen,POINT (6.091083776358926 50.77502009985853),2298.24654803619,608.6608569236,
145,145,45,0.0,Apollo Kino,Apollo Kino_Josefskirche(Justizzentrum)sw-5er_15.csv,1015.2,399.4,75.8,1,Apollo Kino_Josefskirche(Justizzentrum)sw-5er_18.csv,1015.2,399.4,75.8,1,Apollo Kino_Josefskirche(Justizzentrum)sw-5er_21.csv,966.8,351.0,75.8,2.0,425.4,1528.7,Aachen,POINT (6.102141217913561 50.77605601063598),2024.84446152112,1714.64859557812,
146,146,46,1.0,Capitol,Capitol_Josefskirche(Justizzentrum)sw-5er_15.csv,918.9,399.4,99.5,2,Capitol_Josefskirche(Justizzentrum)sw-5er_18.csv,918.9,399.4,99.5,2,Capitol_Josefskirche(Justizzentrum)sw-5er_21.csv,810.5,351.0,99.5,1.0,330.7,968.3,Aachen,POINT (6.102141217913561 50.77605601063598),2024.84446152112,1066.26074194417,
147,147,47,2.0,,None_Josefskirche(Justizzentrum)sw-5er_15.csv,851.3,159.7,151.6,2,None_Josefskirche(Justizzentrum)sw-5er_18.csv,851.3,159.7,151.6,2,None_Josefskirche(Justizzentrum)sw-5er_21.csv,911.3,159.7,151.6,0.0,398.2,1068.3,Aachen,POINT (6.102141217913561 50.77605601063598),2024.84446152112,1256.62075489547,
148,148,48,3.0,Cineplex Aachen,Cineplex Aachen_Josefskirche(Justizzentrum)sw-5er_15.csv,1088.8,432.1,176.7,1,Cineplex Aachen_Josefskirche(Justizzentrum)sw-5er_18.csv,1088.8,432.1,176.7,1,Cineplex Aachen_Josefskirche(Justizzentrum)sw-5er_21.csv,1187.7,351.0,176.7,1.0,327.4,1024.4,Aachen,POINT (6.102141217913561 50.77605601063598),2024.84446152112,1182.74440275123,
149,149,49,4.0,Eden Palast,Eden Palast_Josefskirche(Justizzentrum)sw-5er_15.csv,1033.4,432.1,121.3,1,Eden Palast_Josefskirche(Justizzentrum)sw-5er_18.csv,1033.4,432.1,121.3,1,Eden Palast_Josefskirche(Justizzentrum)sw-5er_21.csv,1132.3,351.0,121.3,3.0,419.1,1211.3,Aachen,POINT (6.102141217913561 50.77605601063598),2024.84446152112,1315.15857211107,
150,150,0,0.0,Apollo Kino,Apollo Kino_KornelimünsterSteinkaulweidsw_15.csv,2622.0,446.2,75.8,1,Apollo Kino_KornelimünsterSteinkaulweidsw_18.csv,2622.0,446.2,75.8,1,Apollo Kino_KornelimünsterSteinkaulweidsw_21.csv,2562.0,446.2,75.8,4.0,1458.3,7169.5,Aachen,POINT (6.166510099999999 50.72750475000001),5228.59879941423,8554.90120007846,
151,151,1,1.0,Capitol,Capitol_KornelimünsterSteinkaulweidsw_15.csv,3005.7,446.2,99.5,3,Capitol_KornelimünsterSteinkaulweidsw_18.csv,3005.7,446.2,99.5,1,Capitol_KornelimünsterSteinkaulweidsw_21.csv,2345.7,446.2,99.5,3.0,1349.5,6727.7,Aachen,POINT (6.166510099999999 50.72750475000001),5228.59879941423,7948.8574882849,
152,152,2,2.0,,None_KornelimünsterSteinkaulweidsw_15.csv,2877.8,446.2,151.6,0,None_KornelimünsterSteinkaulweidsw_18.csv,2778.9,446.2,172.7,0,None_KornelimünsterSteinkaulweidsw_21.csv,2658.9,446.2,172.7,2.0,1254.4,6512.2,Aachen,POINT (6.166510099999999 50.72750475000001),5228.59879941423,7674.27999720095,
153,153,3,3.0,Cineplex Aachen,Cineplex Aachen_KornelimünsterSteinkaulweidsw_15.csv,2902.9,446.2,176.7,0,Cineplex Aachen_KornelimünsterSteinkaulweidsw_18.csv,2776.2,446.2,170.0,0,Cineplex Aachen_KornelimünsterSteinkaulweidsw_21.csv,2656.2,446.2,170.0,2.0,1183.7,6373.2,Aachen,POINT (6.166510099999999 50.72750475000001),5228.59879941423,7440.06775674495,
154,154,4,4.0,Eden Palast,Eden Palast_KornelimünsterSteinkaulweidsw_15.csv,2847.5,446.2,121.3,0,Eden Palast_KornelimünsterSteinkaulweidsw_18.csv,2847.5,446.2,121.3,0,Eden Palast_KornelimünsterSteinkaulweidsw_21.csv,2727.5,446.2,121.3,3.0,1235.8,6323.9,Aachen,POINT (6.166510099999999 50.72750475000001),5228.59879941423,7495.4241699015,
155,155,5,0.0,Apollo Kino,Apollo Kino_MelatenerStraßesw_15.csv,402.4,146.6,75.8,0,Apollo Kino_MelatenerStraßesw_18.csv,402.4,146.6,75.8,0,Apollo Kino_MelatenerStraßesw_21.csv,532.4,146.6,145.8,0.0,549.2,1135.7,Aachen,POINT (6.061654441940719 50.78054863850255),4254.33132193206,1220.41961633915,
156,156,6,1.0,Capitol,Capitol_MelatenerStraßesw_15.csv,786.1,146.6,99.5,0,Capitol_MelatenerStraßesw_18.csv,786.1,146.6,99.5,0,Capitol_MelatenerStraßesw_21.csv,726.1,146.6,99.5,0.0,568.6,1559.0,Aachen,POINT (6.061654441940719 50.78054863850255),4254.33132193206,1837.87023305246,
157,157,7,2.0,,None_MelatenerStraßesw_15.csv,1052.8,160.1,172.7,0,None_MelatenerStraßesw_18.csv,1052.8,160.1,172.7,0,None_MelatenerStraßesw_21.csv,872.8,160.1,172.7,1.0,672.1,1705.1,Aachen,POINT (6.061654441940719 50.78054863850255),4254.33132193206,1839.2086599114,
158,158,8,3.0,Cineplex Aachen,Cineplex Aachen_MelatenerStraßesw_15.csv,1050.1,160.1,170.0,0,Cineplex Aachen_MelatenerStraßesw_18.csv,1050.1,160.1,170.0,0,Cineplex Aachen_MelatenerStraßesw_21.csv,870.1,160.1,170.0,1.0,681.5,1910.9,Aachen,POINT (6.061654441940719 50.78054863850255),4254.33132193206,2057.70356095528,
159,159,9,4.0,Eden Palast,Eden Palast_MelatenerStraßesw_15.csv,1391.2,146.6,224.6,0,Eden Palast_MelatenerStraßesw_18.csv,1391.2,146.6,224.6,0,Eden Palast_MelatenerStraßesw_21.csv,821.4,160.1,121.3,1.0,645.1,1883.8,Aachen,POINT (6.061654441940719 50.78054863850255),4254.33132193206,1983.21661497205,
160,160,10,0.0,Apollo Kino,Apollo Kino_Hansemannplatz-BLÜPH4_15.csv,719.8,198.3,161.5,0,Apollo Kino_Hansemannplatz-BLÜPH4_18.csv,719.8,198.3,161.5,1,Apollo Kino_Hansemannplatz-BLÜPH4_21.csv,618.1,254.7,123.4,0.0,310.5,1162.5,Aachen,POINT (6.096348677066236 50.77524122323012),2110.05540057309,1368.19835854061,
161,161,11,1.0,Capitol,Capitol_Hansemannplatz-BLÜPH4_15.csv,508.8,198.3,130.5,0,Capitol_Hansemannplatz-BLÜPH4_18.csv,508.8,198.3,130.5,0,Capitol_Hansemannplatz-BLÜPH4_21.csv,587.7,254.7,213.0,0.0,212.7,540.5,Aachen,POINT (6.096348677066236 50.77524122323012),2110.05540057309,717.740850419987,
162,162,12,2.0,,None_Hansemannplatz-BLÜPH4_15.csv,792.4,308.9,183.5,1,None_Hansemannplatz-BLÜPH4_18.csv,792.4,308.9,183.5,0,None_Hansemannplatz-BLÜPH4_21.csv,858.2,254.7,183.5,0.0,423.2,692.0,Aachen,POINT (6.096348677066236 50.77524122323012),2110.05540057309,838.694021819099,
163,163,13,3.0,Cineplex Aachen,Cineplex Aachen_Hansemannplatz-BLÜPH4_15.csv,877.4,227.4,170.0,1,Cineplex Aachen_Hansemannplatz-BLÜPH4_18.csv,877.4,227.4,170.0,1,Cineplex Aachen_Hansemannplatz-BLÜPH4_21.csv,1016.1,254.7,341.4,0.0,352.4,681.1,Aachen,POINT (6.096348677066236 50.77524122323012),2110.05540057309,781.190406798846,
164,164,14,4.0,Eden Palast,Eden Palast_Hansemannplatz-BLÜPH4_15.csv,828.5,167.2,121.3,2,Eden Palast_Hansemannplatz-BLÜPH4_18.csv,828.5,167.2,121.3,2,Eden Palast_Hansemannplatz-BLÜPH4_21.csv,648.7,227.4,121.3,0.0,444.1,868.0,Aachen,POINT (6.096348677066236 50.77524122323012),2110.05540057309,912.500235835728,
165,165,15,0.0,Apollo Kino,Apollo Kino_St.Severinsw_15.csv,1597.3,141.5,75.8,4,Apollo Kino_St.Severinsw_18.csv,1597.3,141.5,75.8,3,Apollo Kino_St.Severinsw_21.csv,1597.3,141.5,75.8,2.0,908.0,4149.5,Aachen,POINT (6.147877181464582 50.77650499877769),3249.69251708535,4883.86384027909,
166,166,16,1.0,Capitol,Capitol_St.Severinsw_15.csv,1691.5,332.0,99.5,2,Capitol_St.Severinsw_18.csv,1691.5,332.0,99.5,2,Capitol_St.Severinsw_21.csv,1381.0,141.5,99.5,1.0,831.6,3659.3,Aachen,POINT (6.147877181464582 50.77650499877769),3249.69251708535,4264.95842107856,
167,167,17,2.0,,None_St.Severinsw_15.csv,1514.2,141.5,172.7,1,None_St.Severinsw_18.csv,1514.2,141.5,172.7,1,None_St.Severinsw_21.csv,1694.2,141.5,172.7,1.0,788.7,3697.8,Aachen,POINT (6.147877181464582 50.77650499877769),3249.69251708535,4455.68209573631,
168,168,18,3.0,Cineplex Aachen,Cineplex Aachen_St.Severinsw_15.csv,1511.5,141.5,170.0,1,Cineplex Aachen_St.Severinsw_18.csv,1511.5,141.5,170.0,1,Cineplex Aachen_St.Severinsw_21.csv,1691.5,141.5,170.0,1.0,718.0,3598.9,Aachen,POINT (6.147877181464582 50.77650499877769),3249.69251708535,4328.67923113792,
169,169,19,4.0,Eden Palast,Eden Palast_St.Severinsw_15.csv,1462.8,141.5,121.3,1,Eden Palast_St.Severinsw_18.csv,1462.8,141.5,121.3,1,Eden Palast_St.Severinsw_21.csv,1762.8,141.5,121.3,2.0,809.7,3785.9,Aachen,POINT (6.147877181464582 50.77650499877769),3249.69251708535,4455.35454245864,
170,170,20,0.0,Apollo Kino,Apollo Kino_AmReulertsw_15.csv,2134.7,138.9,75.8,2,Apollo Kino_AmReulertsw_18.csv,2134.7,138.9,75.8,2,Apollo Kino_AmReulertsw_21.csv,2258.7,442.9,75.8,3.0,1238.9,6229.6,Aachen,POINT (6.173391405005091 50.75611798689061),4395.5929893535,7201.58766760701,
171,171,21,1.0,Capitol,Capitol_AmReulertsw_15.csv,2278.4,138.9,99.5,0,Capitol_AmReulertsw_18.csv,2278.4,138.9,99.5,0,Capitol_AmReulertsw_21.csv,2042.4,442.9,99.5,2.0,1130.2,5556.0,Aachen,POINT (6.173391405005091 50.75611798689061),4395.5929893535,6548.78682994279,
172,172,22,2.0,,None_AmReulertsw_15.csv,2051.6,138.9,172.7,0,None_AmReulertsw_18.csv,2051.6,138.9,172.7,0,None_AmReulertsw_21.csv,2355.6,442.9,172.7,2.0,1061.1,5572.3,Aachen,POINT (6.173391405005091 50.75611798689061),4395.5929893535,6521.13280501861,
173,173,23,3.0,Cineplex Aachen,Cineplex Aachen_AmReulertsw_15.csv,2048.9,138.9,170.0,0,Cineplex Aachen_AmReulertsw_18.csv,2048.9,138.9,170.0,0,Cineplex Aachen_AmReulertsw_21.csv,2352.9,442.9,170.0,2.0,990.4,5473.4,Aachen,POINT (6.173391405005091 50.75611798689061),4395.5929893535,6326.96885481962,
174,174,24,4.0,Eden Palast,Eden Palast_AmReulertsw_15.csv,2000.2,138.9,121.3,0,Eden Palast_AmReulertsw_18.csv,2000.2,138.9,121.3,0,Eden Palast_AmReulertsw_21.csv,2424.2,442.9,121.3,3.0,1082.0,5660.3,Aachen,POINT (6.173391405005091 50.75611798689061),4395.5929893535,6428.52466914242,
175,175,25,0.0,Apollo Kino,Apollo Kino_AachenKaiserplatzH2Li.4(Beeckstr.)_15.csv,885.1,363.6,161.5,0,Apollo Kino_AachenKaiserplatzH2Li.4(Beeckstr.)_18.csv,885.1,363.6,161.5,1,Apollo Kino_AachenKaiserplatzH2Li.4(Beeckstr.)_21.csv,629.5,266.1,123.4,0.0,322.8,1173.8,Aachen,POINT (6.097112312735482 50.777329622633),2290.43269744742,1334.02642775246,
176,176,26,1.0,Capitol,Capitol_AachenKaiserplatzH2Li.4(Beeckstr.)_15.csv,674.1,363.6,130.5,0,Capitol_AachenKaiserplatzH2Li.4(Beeckstr.)_18.csv,674.1,363.6,130.5,0,Capitol_AachenKaiserplatzH2Li.4(Beeckstr.)_21.csv,599.1,266.1,213.0,0.0,225.0,639.4,Aachen,POINT (6.097112312735482 50.777329622633),2290.43269744742,689.352947888741,
177,177,27,2.0,,None_AachenKaiserplatzH2Li.4(Beeckstr.)_15.csv,769.4,285.9,183.5,1,None_AachenKaiserplatzH2Li.4(Beeckstr.)_18.csv,769.4,285.9,183.5,0,None_AachenKaiserplatzH2Li.4(Beeckstr.)_21.csv,869.6,266.1,183.5,0.0,377.9,803.8,Aachen,POINT (6.097112312735482 50.777329622633),2290.43269744742,978.190154117045,
178,178,28,3.0,Cineplex Aachen,Cineplex Aachen_AachenKaiserplatzH2Li.4(Beeckstr.)_15.csv,927.3,285.9,341.4,1,Cineplex Aachen_AachenKaiserplatzH2Li.4(Beeckstr.)_18.csv,927.3,285.9,341.4,0,Cineplex Aachen_AachenKaiserplatzH2Li.4(Beeckstr.)_21.csv,1027.5,266.1,341.4,0.0,307.2,847.0,Aachen,POINT (6.097112312735482 50.777329622633),2290.43269744742,966.682079725127,
179,179,29,4.0,Eden Palast,Eden Palast_AachenKaiserplatzH2Li.4(Beeckstr.)_15.csv,953.2,285.9,367.3,0,Eden Palast_AachenKaiserplatzH2Li.4(Beeckstr.)_18.csv,953.2,285.9,367.3,0,Eden Palast_AachenKaiserplatzH2Li.4(Beeckstr.)_21.csv,877.4,241.9,275.5,0.0,398.9,1033.9,Aachen,POINT (6.097112312735482 50.777329622633),2290.43269744742,1093.41649946556,
180,180,30,0.0,Apollo Kino,Apollo Kino_Zwanzigmorgenlw_15.csv,1472.4,76.6,75.8,2,Apollo Kino_Zwanzigmorgenlw_18.csv,1472.4,76.6,75.8,4,Apollo Kino_Zwanzigmorgenlw_21.csv,1412.4,76.6,75.8,3.0,715.4,2655.6,Aachen,POINT (6.116046495743397 50.76493161417041),761.920325236218,3149.33472981805,
181,181,31,1.0,Capitol,Capitol_Zwanzigmorgenlw_15.csv,1076.1,76.6,99.5,3,Capitol_Zwanzigmorgenlw_18.csv,1076.1,76.6,99.5,3,Capitol_Zwanzigmorgenlw_21.csv,1256.1,76.6,99.5,2.0,606.7,2213.8,Aachen,POINT (6.116046495743397 50.76493161417041),761.920325236218,2511.78802156406,
182,182,32,2.0,,None_Zwanzigmorgenlw_15.csv,1212.4,379.7,172.7,0,None_Zwanzigmorgenlw_18.csv,1212.4,379.7,172.7,0,None_Zwanzigmorgenlw_21.csv,1092.4,379.7,172.7,0.0,537.6,1998.3,Aachen,POINT (6.116046495743397 50.76493161417041),761.920325236218,2375.89511258491,
183,183,33,3.0,Cineplex Aachen,Cineplex Aachen_Zwanzigmorgenlw_15.csv,1209.7,379.7,170.0,0,Cineplex Aachen_Zwanzigmorgenlw_18.csv,1209.7,379.7,170.0,0,Cineplex Aachen_Zwanzigmorgenlw_21.csv,1089.7,379.7,170.0,0.0,466.9,1899.4,Aachen,POINT (6.116046495743397 50.76493161417041),761.920325236218,2170.84386984756,
184,184,34,4.0,Eden Palast,Eden Palast_Zwanzigmorgenlw_15.csv,1277.9,76.6,121.3,4,Eden Palast_Zwanzigmorgenlw_18.csv,1277.9,76.6,121.3,4,Eden Palast_Zwanzigmorgenlw_21.csv,1041.0,379.7,121.3,0.0,558.6,2086.3,Aachen,POINT (6.116046495743397 50.76493161417041),761.920325236218,2267.6881148544,
185,185,35,0.0,Apollo Kino,Apollo Kino_NormaluhrH.4(Theaterstraße)_15.csv,946.8,271.0,75.8,2,Apollo Kino_NormaluhrH.4(Theaterstraße)_18.csv,946.8,271.0,75.8,2,Apollo Kino_NormaluhrH.4(Theaterstraße)_21.csv,886.8,271.0,75.8,0.0,476.4,1590.2,Aachen,POINT (6.09457844775866 50.76652655843168),1457.09194409209,1922.34824537716,
186,186,36,1.0,Capitol,Capitol_NormaluhrH.4(Theaterstraße)_15.csv,850.5,271.0,99.5,1,Capitol_NormaluhrH.4(Theaterstraße)_18.csv,850.5,271.0,99.5,1,Capitol_NormaluhrH.4(Theaterstraße)_21.csv,815.9,315.1,80.8,0.0,367.7,1183.5,Aachen,POINT (6.09457844775866 50.76652655843168),1457.09194409209,1414.10392286098,
187,187,37,2.0,,None_NormaluhrH.4(Theaterstraße)_15.csv,787.8,315.1,172.7,0,None_NormaluhrH.4(Theaterstraße)_18.csv,787.8,315.1,172.7,0,None_NormaluhrH.4(Theaterstraße)_21.csv,667.8,315.1,172.7,0.0,272.6,932.9,Aachen,POINT (6.09457844775866 50.76652655843168),1457.09194409209,999.79301237624,
188,188,38,3.0,Cineplex Aachen,Cineplex Aachen_NormaluhrH.4(Theaterstraße)_15.csv,785.1,315.1,170.0,0,Cineplex Aachen_NormaluhrH.4(Theaterstraße)_18.csv,785.1,315.1,170.0,0,Cineplex Aachen_NormaluhrH.4(Theaterstraße)_21.csv,665.1,315.1,170.0,0.0,201.8,694.2,Aachen,POINT (6.09457844775866 50.76652655843168),1457.09194409209,762.61449425499,
189,189,39,4.0,Eden Palast,Eden Palast_NormaluhrH.4(Theaterstraße)_15.csv,1052.3,271.0,121.3,2,Eden Palast_NormaluhrH.4(Theaterstraße)_18.csv,736.4,315.1,121.3,0,Eden Palast_NormaluhrH.4(Theaterstraße)_21.csv,1145.6,482.0,363.6,0.0,282.6,849.6,Aachen,POINT (6.09457844775866 50.76652655843168),1457.09194409209,816.44085726828,
190,190,40,0.0,Apollo Kino,Apollo Kino_Goerdelerstraßesw_15.csv,876.1,140.3,75.8,1,Apollo Kino_Goerdelerstraßesw_18.csv,876.1,140.3,75.8,1,Apollo Kino_Goerdelerstraßesw_21.csv,946.1,140.3,145.8,1.0,578.5,2323.6,Aachen,POINT (6.1154819150314195 50.77259656935887),1564.10822514767,2729.23407125291,
191,191,41,1.0,Capitol,Capitol_Goerdelerstraßesw_15.csv,779.8,140.3,99.5,2,Capitol_Goerdelerstraßesw_18.csv,779.8,140.3,99.5,2,Capitol_Goerdelerstraßesw_21.csv,719.8,140.3,99.5,0.0,469.7,1710.4,Aachen,POINT (6.1154819150314195 50.77259656935887),1564.10822514767,2078.00354010951,
192,192,42,2.0,,None_Goerdelerstraßesw_15.csv,996.7,284.0,172.7,0,None_Goerdelerstraßesw_18.csv,996.7,284.0,172.7,0,None_Goerdelerstraßesw_21.csv,936.7,284.0,172.7,0.0,400.7,1856.3,Aachen,POINT (6.1154819150314195 50.77259656935887),1564.10822514767,2155.26413159158,
193,193,43,3.0,Cineplex Aachen,Cineplex Aachen_Goerdelerstraßesw_15.csv,994.0,284.0,170.0,0,Cineplex Aachen_Goerdelerstraßesw_18.csv,994.0,284.0,170.0,0,Cineplex Aachen_Goerdelerstraßesw_21.csv,814.0,284.0,170.0,0.0,329.9,1757.4,Aachen,POINT (6.1154819150314195 50.77259656935887),1564.10822514767,2010.70224078708,
194,194,44,4.0,Eden Palast,Eden Palast_Goerdelerstraßesw_15.csv,981.6,140.3,121.3,3,Eden Palast_Goerdelerstraßesw_18.csv,981.6,140.3,121.3,3,Eden Palast_Goerdelerstraßesw_21.csv,765.3,284.0,121.3,0.0,421.6,1944.3,Aachen,POINT (6.1154819150314195 50.77259656935887),1564.10822514767,2134.84160110164,
195,195,45,0.0,Apollo Kino,Apollo Kino_St.Severinsw_15.csv,1676.2,172.8,123.4,4,Apollo Kino_St.Severinsw_18.csv,1676.2,172.8,123.4,3,Apollo Kino_St.Severinsw_21.csv,1714.3,172.8,161.5,2.0,872.8,3932.2,Aachen,POINT (6.144451338741068 50.778409050664045),3201.39576688271,4626.86918984219,
196,196,46,1.0,Capitol,Capitol_St.Severinsw_15.csv,1490.7,17.7,213.0,2,Capitol_St.Severinsw_18.csv,1490.7,17.7,213.0,2,Capitol_St.Severinsw_21.csv,1443.3,172.8,130.5,1.0,796.5,3442.0,Aachen,POINT (6.144451338741068 50.778409050664045),3201.39576688271,4017.91708252075,
197,197,47,2.0,,None_St.Severinsw_15.csv,1667.9,172.8,295.1,1,None_St.Severinsw_18.csv,1667.9,172.8,295.1,1,None_St.Severinsw_21.csv,1736.3,172.8,183.5,1.0,753.5,3606.3,Aachen,POINT (6.144451338741068 50.778409050664045),3201.39576688271,4239.04840692886,
198,198,48,3.0,Cineplex Aachen,Cineplex Aachen_St.Severinsw_15.csv,1549.5,172.8,176.7,1,Cineplex Aachen_St.Severinsw_18.csv,1549.5,172.8,176.7,1,Cineplex Aachen_St.Severinsw_21.csv,1894.2,172.8,341.4,1.0,682.8,3404.3,Aachen,POINT (6.144451338741068 50.778409050664045),3201.39576688271,4123.64171076846,
199,199,49,4.0,Eden Palast,Eden Palast_St.Severinsw_15.csv,1736.4,172.8,363.6,1,Eden Palast_St.Severinsw_18.csv,1736.4,172.8,363.6,1,Eden Palast_St.Severinsw_21.csv,1794.1,172.8,121.3,2.0,774.5,3591.2,Aachen,POINT (6.144451338741068 50.778409050664045),3201.39576688271,4252.34015221696,
200,200,0,0.0,Apollo Kino,Apollo Kino_Blücherplatzlw_15.csv,652.1,96.3,75.8,1,Apollo Kino_Blücherplatzlw_18.csv,652.1,96.3,75.8,1,Apollo Kino_Blücherplatzlw_21.csv,722.1,96.3,145.8,1.0,416.7,1560.3,Aachen,POINT (6.102555660778684 50.774849813462545),1888.3648348711,1786.82602312626,
201,201,1,1.0,Capitol,Capitol_Blücherplatzlw_15.csv,555.8,96.3,99.5,2,Capitol_Blücherplatzlw_18.csv,555.8,96.3,99.5,2,Capitol_Blücherplatzlw_21.csv,495.8,96.3,99.5,0.0,307.9,947.0,Aachen,POINT (6.102555660778684 50.774849813462545),1888.3648348711,1134.32595230662,
202,202,2,2.0,,None_Blücherplatzlw_15.csv,819.8,96.3,183.5,2,None_Blücherplatzlw_18.csv,819.8,96.3,183.5,2,None_Blücherplatzlw_21.csv,879.8,96.3,183.5,0.0,375.4,1095.3,Aachen,POINT (6.102555660778684 50.774849813462545),1888.3648348711,1257.43472447623,
203,203,3,3.0,Cineplex Aachen,Cineplex Aachen_Blücherplatzlw_15.csv,813.0,96.3,176.7,2,Cineplex Aachen_Blücherplatzlw_18.csv,813.0,96.3,176.7,2,Cineplex Aachen_Blücherplatzlw_21.csv,873.0,96.3,176.7,0.0,304.7,996.4,Aachen,POINT (6.102555660778684 50.774849813462545),1888.3648348711,1158.53373680943,
204,204,4,4.0,Eden Palast,Eden Palast_Blücherplatzlw_15.csv,757.6,96.3,121.3,3,Eden Palast_Blücherplatzlw_18.csv,757.6,96.3,121.3,3,Eden Palast_Blücherplatzlw_21.csv,817.6,96.3,121.3,2.0,396.3,1183.3,Aachen,POINT (6.102555660778684 50.774849813462545),1888.3648348711,1290.4020242223,
205,205,5,0.0,Apollo Kino,Apollo Kino_Schanz-PON(13)H3_15.csv,468.6,212.8,75.8,0,Apollo Kino_Schanz-PON(13)H3_18.csv,468.6,212.8,75.8,0,Apollo Kino_Schanz-PON(13)H3_21.csv,598.7,282.9,75.8,0.0,564.4,1044.6,Aachen,POINT (6.071132255875557 50.771071921755905),3142.79072890789,1203.29768446553,
206,206,6,1.0,Capitol,Capitol_Schanz-PON(13)H3_15.csv,802.4,282.9,99.5,0,Capitol_Schanz-PON(13)H3_18.csv,802.4,282.9,99.5,0,Capitol_Schanz-PON(13)H3_21.csv,802.4,282.9,99.5,0.0,454.4,1158.6,Aachen,POINT (6.071132255875557 50.771071921755905),3142.79072890789,1414.00882475857,
207,207,7,2.0,,None_Schanz-PON(13)H3_15.csv,640.7,168.0,172.7,0,None_Schanz-PON(13)H3_18.csv,640.7,168.0,172.7,0,None_Schanz-PON(13)H3_21.csv,580.7,168.0,172.7,0.0,350.1,916.5,Aachen,POINT (6.071132255875557 50.771071921755905),3142.79072890789,1000.48620968129,
208,208,8,3.0,Cineplex Aachen,Cineplex Aachen_Schanz-PON(13)H3_15.csv,638.0,168.0,170.0,0,Cineplex Aachen_Schanz-PON(13)H3_18.csv,638.0,168.0,170.0,0,Cineplex Aachen_Schanz-PON(13)H3_21.csv,578.0,168.0,170.0,0.0,305.8,1002.2,Aachen,POINT (6.071132255875557 50.771071921755905),3142.79072890789,1123.02564679294,
209,209,9,4.0,Eden Palast,Eden Palast_Schanz-PON(13)H3_15.csv,591.8,230.5,121.3,0,Eden Palast_Schanz-PON(13)H3_18.csv,591.8,230.5,121.3,0,Eden Palast_Schanz-PON(13)H3_21.csv,729.5,204.9,224.6,0.0,296.9,980.2,Aachen,POINT (6.071132255875557 50.771071921755905),3142.79072890789,1002.09531333343,
210,210,10,0.0,Apollo Kino,Apollo Kino_Jakobsplatzsw(4)_15.csv,467.5,331.7,75.8,0,Apollo Kino_Jakobsplatzsw(4)_18.csv,467.5,331.7,75.8,0,Apollo Kino_Jakobsplatzsw(4)_21.csv,484.6,158.8,145.8,0.0,380.2,859.0,Aachen,POINT (6.079815217621405 50.772642446848685),2700.31805472595,896.615856118047,
