,Unnamed: 0.1,field_1,Unnamed: 0,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,example_for,start_location,distance_start_centroid,distance_start_cinema,geometry
22,22,2,0.0,CasaBlanca Art House,CasaBlanca Art House_BadSodenAlleestraßeNr.22VBahnhof_15.csv,861.3,369.5,431.8,0,CasaBlanca Art House_BadSodenAlleestraßeNr.22VBahnhof_18.csv,796.4,634.7,41.7,0,CasaBlanca Art House_BadSodenAlleestraßeNr.22VBahnhof_21.csv,796.4,634.7,41.7,0,211.6,779.1,Bad Soden am Taunus,POINT (8.504427500164697 50.13750039944793),2059.866029074296,850.0921975634678,
23,23,3,0.0,CasaBlanca Art House,CasaBlanca Art House_BadSodenKönigsteinerStraßeVRosenthalstraße_15.csv,535.8,314.1,41.7,0,CasaBlanca Art House_BadSodenKönigsteinerStraßeVRosenthalstraße_18.csv,535.8,314.1,41.7,0,CasaBlanca Art House_BadSodenKönigsteinerStraßeVRosenthalstraße_21.csv,535.8,314.1,41.7,0,134.4,873.6,Bad Soden am Taunus,POINT (8.508731290583487 50.1368424412112),2308.609080540416,1055.4276748150835,
24,24,4,0.0,CasaBlanca Art House,CasaBlanca Art House_BadSodenMartin-Luther-WegNMünstererweg_15.csv,1371.8,258.5,273.3,0,CasaBlanca Art House_BadSodenMartin-Luther-WegNMünstererweg_18.csv,1371.8,258.5,273.3,0,CasaBlanca Art House_BadSodenMartin-Luther-WegNMünstererweg_21.csv,4009.3,258.5,270.8,0,270.3,1007.7,Bad Soden am Taunus,POINT (8.501100450000001 50.13511764999999),2163.378297487835,1067.5107735171057,
25,25,5,0.0,CasaBlanca Art House,CasaBlanca Art House_BadSodenParkstraßeVKurpark_15.csv,512.8,325.2,67.6,0,CasaBlanca Art House_BadSodenParkstraßeVKurpark_18.csv,512.8,325.2,67.6,0,CasaBlanca Art House_BadSodenParkstraßeVKurpark_21.csv,512.8,325.2,67.6,0,223.3,1143.9,Bad Soden am Taunus,POINT (8.495783154649772 50.15456700308327),632.2150526576285,1145.967240589717,
26,26,6,0.0,CasaBlanca Art House,CasaBlanca Art House_NeuenhainBürgerhausVFriedhof_15.csv,785.6,623.9,41.7,0,CasaBlanca Art House_NeuenhainBürgerhausVFriedhof_18.csv,785.6,623.9,41.7,0,CasaBlanca Art House_NeuenhainBürgerhausVFriedhof_21.csv,785.6,623.9,41.7,0,110.6,554.1,Bad Soden am Taunus,POINT (8.495408300000001 50.1492204),671.2030883688849,618.2209827416332,
27,27,7,0.0,CasaBlanca Art House,CasaBlanca Art House_BadSodenFriedrich-Uhde-Str.VBahnhof_15.csv,1061.4,622.5,258.9,0,CasaBlanca Art House_BadSodenFriedrich-Uhde-Str.VBahnhof_18.csv,1061.4,622.5,258.9,0,CasaBlanca Art House_BadSodenFriedrich-Uhde-Str.VBahnhof_21.csv,1061.4,622.5,258.9,0,232.8,1006.8,Bad Soden am Taunus,POINT (8.514494050000001 50.1400765),2371.2349682236936,1126.9250355328973,
28,28,8,0.0,CasaBlanca Art House,CasaBlanca Art House_BadSodenWalter-Kollo-StraßeNRob-StolzStr_15.csv,1124.0,276.4,67.6,0,CasaBlanca Art House_BadSodenWalter-Kollo-StraßeNRob-StolzStr_18.csv,1124.0,276.4,67.6,0,CasaBlanca Art House_BadSodenWalter-Kollo-StraßeNRob-StolzStr_21.csv,3854.3,276.4,157.9,0,157.9,636.0,Bad Soden am Taunus,POINT (8.500491954916802 50.13942614195556),1724.5982115067725,587.4985867442251,
29,29,9,0.0,CasaBlanca Art House,CasaBlanca Art House_BadSodenFriedhofVFalkenstr_15.csv,1192.3,190.6,41.7,1,CasaBlanca Art House_BadSodenFriedhofVFalkenstr_18.csv,1416.5,303.2,273.3,0,CasaBlanca Art House_BadSodenFriedhofVFalkenstr_21.csv,4054.0,303.2,270.8,0,185.1,832.4,Bad Soden am Taunus,POINT (8.49959895 50.13680204999999),1947.9007306848744,881.4549624816785,
30,30,0,0.0,CasaBlanca Art House,CasaBlanca Art House_BadSodenNiederhofheimerStrVBahnhof_15.csv,1274.7,161.4,273.3,0,CasaBlanca Art House_BadSodenNiederhofheimerStrVBahnhof_18.csv,1274.7,161.4,273.3,0,CasaBlanca Art House_BadSodenNiederhofheimerStrVBahnhof_21.csv,3912.2,161.4,270.8,0,264.2,1017.6,Bad Soden am Taunus,POINT (8.495753616762338 50.1350265163109),2030.926183951059,1128.1547827907386,
31,31,1,0.0,CasaBlanca Art House,CasaBlanca Art House_BadSodenTheodor-Heuss-SchuleVAltenheim_15.csv,1138.5,646.7,431.8,0,CasaBlanca Art House_BadSodenTheodor-Heuss-SchuleVAltenheim_18.csv,1167.7,728.8,258.9,0,CasaBlanca Art House_BadSodenTheodor-Heuss-SchuleVAltenheim_21.csv,1167.7,728.8,258.9,0,140.1,580.1,Bad Soden am Taunus,POINT (8.508147099999999 50.14601395),1640.4864000192804,567.5417922627795,
32,32,2,0.0,CasaBlanca Art House,CasaBlanca Art House_BadSodenAmCarlusbaumNLiederbach_15.csv,921.0,193.4,67.6,0,CasaBlanca Art House_BadSodenAmCarlusbaumNLiederbach_18.csv,689.8,528.1,41.7,0,CasaBlanca Art House_BadSodenAmCarlusbaumNLiederbach_21.csv,689.8,528.1,41.7,0,136.9,607.8,Bad Soden am Taunus,POINT (8.498007348388207 50.13859450045205),1718.8979355513663,702.3263540861568,
33,33,3,0.0,CasaBlanca Art House,CasaBlanca Art House_BadSodenNiederhofheimerStrNBahnhof_15.csv,1104.0,316.4,67.6,0,CasaBlanca Art House_BadSodenNiederhofheimerStrNBahnhof_18.csv,1104.0,316.4,67.6,0,CasaBlanca Art House_BadSodenNiederhofheimerStrNBahnhof_21.csv,3834.3,316.4,157.9,0,209.6,870.2,Bad Soden am Taunus,POINT (8.496675052657219 50.13615601921039),1932.3044642074983,988.9582941199392,
34,34,4,0.0,CasaBlanca Art House,CasaBlanca Art House_MammolshainAmHasensprungVkönigst_15.csv,742.9,521.2,41.7,0,CasaBlanca Art House_MammolshainAmHasensprungVkönigst_18.csv,742.9,521.2,41.7,0,CasaBlanca Art House_MammolshainAmHasensprungVkönigst_21.csv,742.9,521.2,41.7,0,274.6,1617.4,Bad Soden am Taunus,POINT (8.48981624411994 50.16084150269389),940.5008916388418,1948.400623291719,
35,35,5,0.0,CasaBlanca Art House,CasaBlanca Art House_BadSodenParkstraßeNKurpark_15.csv,520.0,358.3,41.7,0,CasaBlanca Art House_BadSodenParkstraßeNKurpark_18.csv,520.0,358.3,41.7,0,CasaBlanca Art House_BadSodenParkstraßeNKurpark_21.csv,520.0,358.3,41.7,0,224.0,1211.0,Bad Soden am Taunus,POINT (8.495900150000002 50.15540775),679.0348436221935,1233.4366452954334,
