,Unnamed: 0.1,field_1,Unnamed: 0,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,example_for,start_location,distance_start_centroid,distance_start_cinema,geometry
18,18,18,2.0,3-Seiten-Kino,3-Seiten-Kino_KinderhospitalJugendhbg._15.csv,649.4,255.7,333.7,0.0,3-Seiten-Kino_KinderhospitalJugendhbg._18.csv,649.4,255.7,333.7,0.0,3-Seiten-Kino_KinderhospitalJugendhbg._21.csv,607.7,214.0,333.7,0.0,490.3,928.8,Osnabrück,POINT (8.067155009595895 52.25852846276014),2577.2730358702256,1015.3667849053464,
19,19,19,3.0,Cinema Arthouse,Cinema Arthouse_KinderhospitalJugendhbg._15.csv,1046.1,214.0,232.1,0.0,Cinema Arthouse_KinderhospitalJugendhbg._18.csv,1046.1,214.0,232.1,0.0,Cinema Arthouse_KinderhospitalJugendhbg._21.csv,986.1,214.0,232.1,0.0,452.6,1959.3,Osnabrück,POINT (8.067155009595895 52.25852846276014),2577.2730358702256,2403.208660065124,
20,20,20,0.0,Filmtheater Hasetor,Filmtheater Hasetor_Landwehrstraße_15.csv,1356.4,390.4,6.0,0.0,Filmtheater Hasetor_Landwehrstraße_18.csv,3198.3,912.3,6.0,2.0,Filmtheater Hasetor_Landwehrstraße_21.csv,6111.6,2172.7,278.9,2.0,791.1,4064.1,Osnabrück,POINT (7.975933523824302 52.300551449563606),5474.671710068336,5119.945726984541,
21,21,21,1.0,Hall of Fame,Hall of Fame_Landwehrstraße_15.csv,3068.3,912.3,56.0,2.0,Hall of Fame_Landwehrstraße_18.csv,2126.4,390.4,56.0,0.0,Hall of Fame_Landwehrstraße_21.csv,2246.4,390.4,56.0,1.0,965.5,5157.5,Osnabrück,POINT (7.975933523824302 52.300551449563606),5474.671710068336,6466.594816126949,
22,22,22,2.0,3-Seiten-Kino,3-Seiten-Kino_Landwehrstraße_15.csv,3124.1,390.4,333.7,1.0,3-Seiten-Kino_Landwehrstraße_18.csv,3124.1,390.4,333.7,2.0,3-Seiten-Kino_Landwehrstraße_21.csv,3124.1,390.4,333.7,1.0,1422.3,7024.9,Osnabrück,POINT (7.975933523824302 52.300551449563606),5474.671710068336,8564.295451626878,
23,23,23,3.0,Cinema Arthouse,Cinema Arthouse_Landwehrstraße_15.csv,2542.5,390.4,232.1,1.0,Cinema Arthouse_Landwehrstraße_18.csv,2542.5,390.4,232.1,2.0,Cinema Arthouse_Landwehrstraße_21.csv,2273.9,390.4,203.5,1.0,865.2,4554.3,Osnabrück,POINT (7.975933523824302 52.300551449563606),5474.671710068336,5685.367388168398,
24,24,24,0.0,Filmtheater Hasetor,Filmtheater Hasetor_AmNahnerFriedhof_15.csv,1827.0,621.0,6.0,0.0,Filmtheater Hasetor_AmNahnerFriedhof_18.csv,1820.3,674.3,6.0,1.0,Filmtheater Hasetor_AmNahnerFriedhof_21.csv,1707.0,621.0,6.0,1.0,859.5,3790.5,Osnabrück,POINT (8.075702746919154 52.240307911492465),4645.597343198626,5012.843716759242,
25,25,25,1.0,Hall of Fame,Hall of Fame_AmNahnerFriedhof_15.csv,1930.3,674.3,56.0,3.0,Hall of Fame_AmNahnerFriedhof_18.csv,1577.0,621.0,56.0,3.0,Hall of Fame_AmNahnerFriedhof_21.csv,1697.0,621.0,56.0,1.0,675.0,3065.4,Osnabrück,POINT (8.075702746919154 52.240307911492465),4645.597343198626,3735.0567195165527,
26,26,26,2.0,3-Seiten-Kino,3-Seiten-Kino_AmNahnerFriedhof_15.csv,1014.7,621.0,333.7,0.0,3-Seiten-Kino_AmNahnerFriedhof_18.csv,1014.7,621.0,333.7,0.0,3-Seiten-Kino_AmNahnerFriedhof_21.csv,1014.7,621.0,333.7,0.0,314.5,984.7,Osnabrück,POINT (8.075702746919154 52.240307911492465),4645.597343198626,1101.3933114918834,
27,27,27,3.0,Cinema Arthouse,Cinema Arthouse_AmNahnerFriedhof_15.csv,1873.1,621.0,232.1,0.0,Cinema Arthouse_AmNahnerFriedhof_18.csv,2137.8,674.3,203.5,1.0,Cinema Arthouse_AmNahnerFriedhof_21.csv,1753.1,621.0,232.1,0.0,803.7,3492.0,Osnabrück,POINT (8.075702746919154 52.240307911492465),4645.597343198626,4485.729621058994,
