,Unnamed: 0.1,field_1,Unnamed: 0,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,example_for,start_location,distance_start_centroid,distance_start_cinema,geometry
25,25,25,1.0,Gloria & Gloriette,"Gloria & Gloriette_Heidelberg,Gaisbergstraße_15.csv",995.7,746.9,128.8,0.0,"Gloria & Gloriette_Heidelberg,Gaisbergstraße_18.csv",995.7,746.9,128.8,0,"Gloria & Gloriette_Heidelberg,Gaisbergstraße_21.csv",1214.9,746.9,228.0,0.0,461.1,1723.4,Heidelberg,POINT (8.693478588608912 49.39907296382343),713.7481443919743,1723.8124595103018,
26,26,26,2.0,Karlstorkino,"Karlstorkino_Heidelberg,Gaisbergstraße_15.csv",769.1,286.0,123.1,0.0,"Karlstorkino_Heidelberg,Gaisbergstraße_18.csv",769.1,286.0,123.1,0,"Karlstorkino_Heidelberg,Gaisbergstraße_21.csv",649.1,286.0,123.1,0.0,479.2,1424.7,Heidelberg,POINT (8.693478588608912 49.39907296382343),713.7481443919743,1631.5125487650157,
27,27,27,3.0,Luxor Filmpalast Heidelberg,"Luxor Filmpalast Heidelberg_Heidelberg,Gaisbergstraße_15.csv",1478.5,286.0,352.5,1.0,"Luxor Filmpalast Heidelberg_Heidelberg,Gaisbergstraße_18.csv",1478.5,286.0,352.5,1,"Luxor Filmpalast Heidelberg_Heidelberg,Gaisbergstraße_21.csv",1898.5,286.0,352.5,1.0,439.4,1828.0,Heidelberg,POINT (8.693478588608912 49.39907296382343),713.7481443919743,2085.0093023769173,
28,28,28,0.0,Die Kamera,"Die Kamera_Neuenheim,Jugendherberge_15.csv",724.9,157.8,27.1,1.0,"Die Kamera_Neuenheim,Jugendherberge_18.csv",724.9,157.8,27.1,1,"Die Kamera_Neuenheim,Jugendherberge_21.csv",724.9,157.8,27.1,0.0,580.5,2096.0,Heidelberg,POINT (8.662535461305172 49.41017340846859),2361.3065329203355,2234.74804601946,
29,29,29,1.0,Gloria & Gloriette,"Gloria & Gloriette_Neuenheim,Jugendherberge_15.csv",1300.4,271.6,128.8,1.0,"Gloria & Gloriette_Neuenheim,Jugendherberge_18.csv",1300.4,271.6,128.8,1,"Gloria & Gloriette_Neuenheim,Jugendherberge_21.csv",1360.4,271.6,128.8,1.0,823.1,2664.1,Heidelberg,POINT (8.662535461305172 49.41017340846859),2361.3065329203355,3252.579771505764,
30,30,30,2.0,Karlstorkino,"Karlstorkino_Neuenheim,Jugendherberge_15.csv",1840.9,157.8,123.1,2.0,"Karlstorkino_Neuenheim,Jugendherberge_18.csv",1840.9,157.8,123.1,2,"Karlstorkino_Neuenheim,Jugendherberge_21.csv",1540.9,157.8,123.1,2.0,764.7,2702.9,Heidelberg,POINT (8.662535461305172 49.41017340846859),2361.3065329203355,2916.3948212657383,
31,31,31,3.0,Luxor Filmpalast Heidelberg,"Luxor Filmpalast Heidelberg_Neuenheim,Jugendherberge_15.csv",857.9,157.8,640.1,0.0,"Luxor Filmpalast Heidelberg_Neuenheim,Jugendherberge_18.csv",857.9,157.8,640.1,0,"Luxor Filmpalast Heidelberg_Neuenheim,Jugendherberge_21.csv",857.9,157.8,640.1,0.0,276.7,1004.8,Heidelberg,POINT (8.662535461305172 49.41017340846859),2361.3065329203355,576.4204393681232,
32,32,32,0.0,Die Kamera,"Die Kamera_Kirchheim,KirchheimerHof_15.csv",1341.5,294.4,27.1,0.0,"Die Kamera_Kirchheim,KirchheimerHof_18.csv",1341.5,294.4,27.1,0,"Die Kamera_Kirchheim,KirchheimerHof_21.csv",1281.5,294.4,27.1,0.0,959.3,4203.9,Heidelberg,POINT (8.663877976033179 49.37418578964827),4118.837188279403,5028.0250181940455,
33,33,33,1.0,Gloria & Gloriette,"Gloria & Gloriette_Kirchheim,KirchheimerHof_15.csv",2043.2,294.4,128.8,1.0,"Gloria & Gloriette_Kirchheim,KirchheimerHof_18.csv",2043.2,294.4,128.8,1,"Gloria & Gloriette_Kirchheim,KirchheimerHof_21.csv",2163.2,294.4,128.8,2.0,1099.0,4462.5,Heidelberg,POINT (8.663877976033179 49.37418578964827),4118.837188279403,5225.823112527799,
34,34,34,2.0,Karlstorkino,"Karlstorkino_Kirchheim,KirchheimerHof_15.csv",657.5,294.4,123.1,0.0,"Karlstorkino_Kirchheim,KirchheimerHof_18.csv",657.5,294.4,123.1,0,"Karlstorkino_Kirchheim,KirchheimerHof_21.csv",657.5,294.4,123.1,0.0,511.0,1774.2,Heidelberg,POINT (8.663877976033179 49.37418578964827),4118.837188279403,1879.1506942927765,
35,35,35,3.0,Luxor Filmpalast Heidelberg,"Luxor Filmpalast Heidelberg_Kirchheim,KirchheimerHof_15.csv",1306.9,294.4,352.5,0.0,"Luxor Filmpalast Heidelberg_Kirchheim,KirchheimerHof_18.csv",1306.9,294.4,352.5,0,"Luxor Filmpalast Heidelberg_Kirchheim,KirchheimerHof_21.csv",1306.9,294.4,352.5,0.0,679.1,3066.7,Heidelberg,POINT (8.663877976033179 49.37418578964827),4118.837188279403,3511.4410479678254,
36,36,36,0.0,Die Kamera,"Die Kamera_Handschuhsheim,Rolloßweg_15.csv",513.9,246.8,27.1,0.0,"Die Kamera_Handschuhsheim,Rolloßweg_18.csv",513.9,246.8,27.1,0,"Die Kamera_Handschuhsheim,Rolloßweg_21.csv",513.9,246.8,27.1,0.0,321.5,1572.5,Heidelberg,POINT (8.679410698918648 49.430658041954835),3000.5055501378533,1931.486403600457,
37,37,37,1.0,Gloria & Gloriette,"Gloria & Gloriette_Handschuhsheim,Rolloßweg_15.csv",1575.6,246.8,128.8,1.0,"Gloria & Gloriette_Handschuhsheim,Rolloßweg_18.csv",1575.6,246.8,128.8,1,"Gloria & Gloriette_Handschuhsheim,Rolloßweg_21.csv",1395.6,246.8,128.8,1.0,837.6,2728.1,Heidelberg,POINT (8.679410698918648 49.430658041954835),3000.5055501378533,2923.65002958436,
38,38,38,2.0,Karlstorkino,"Karlstorkino_Handschuhsheim,Rolloßweg_15.csv",1449.9,246.8,123.1,1.0,"Karlstorkino_Handschuhsheim,Rolloßweg_18.csv",1449.9,246.8,123.1,1,"Karlstorkino_Handschuhsheim,Rolloßweg_21.csv",1580.6,317.5,123.1,1.0,979.0,4007.9,Heidelberg,POINT (8.679410698918648 49.430658041954835),3000.5055501378533,4869.50346534516,
39,39,39,3.0,Luxor Filmpalast Heidelberg,"Luxor Filmpalast Heidelberg_Handschuhsheim,Rolloßweg_15.csv",1319.3,246.8,352.5,1.0,"Luxor Filmpalast Heidelberg_Handschuhsheim,Rolloßweg_18.csv",1319.3,246.8,352.5,1,"Luxor Filmpalast Heidelberg_Handschuhsheim,Rolloßweg_21.csv",1330.0,317.5,352.5,1.0,577.5,2673.2,Heidelberg,POINT (8.679410698918648 49.430658041954835),3000.5055501378533,2923.7902253119623,
40,40,0,0.0,Die Kamera,"Die Kamera_Heidelberg,Hauptbahnhof_15.csv",384.5,57.4,27.1,0.0,"Die Kamera_Heidelberg,Hauptbahnhof_18.csv",384.5,57.4,27.1,0,"Die Kamera_Heidelberg,Hauptbahnhof_21.csv",384.5,57.4,27.1,0.0,420.4,1486.2,Heidelberg,POINT (8.68402727611882 49.40201190450954),837.2770860351412,1608.3315342208614,
41,41,1,1.0,Gloria & Gloriette,"Gloria & Gloriette_Heidelberg,Hauptbahnhof_15.csv",934.1,265.3,128.8,1.0,"Gloria & Gloriette_Heidelberg,Hauptbahnhof_18.csv",934.1,265.3,128.8,1,"Gloria & Gloriette_Heidelberg,Hauptbahnhof_21.csv",1185.1,456.3,128.8,0.0,560.1,1744.8,Heidelberg,POINT (8.68402727611882 49.40201190450954),837.2770860351412,2002.254597729208,
42,42,2,2.0,Karlstorkino,"Karlstorkino_Heidelberg,Hauptbahnhof_15.csv",900.5,57.4,123.1,1.0,"Karlstorkino_Heidelberg,Hauptbahnhof_18.csv",900.5,57.4,123.1,1,"Karlstorkino_Heidelberg,Hauptbahnhof_21.csv",1020.5,57.4,123.1,1.0,517.3,1398.4,Heidelberg,POINT (8.68402727611882 49.40201190450954),837.2770860351412,1697.8041912607605,
43,43,3,3.0,Luxor Filmpalast Heidelberg,"Luxor Filmpalast Heidelberg_Heidelberg,Hauptbahnhof_15.csv",1012.8,540.3,352.5,0.0,"Luxor Filmpalast Heidelberg_Heidelberg,Hauptbahnhof_18.csv",1012.8,540.3,352.5,0,"Luxor Filmpalast Heidelberg_Heidelberg,Hauptbahnhof_21.csv",977.8,265.3,352.5,1.0,305.3,1205.8,Heidelberg,POINT (8.68402727611882 49.40201190450954),837.2770860351412,1329.4388411911416,
