,Unnamed: 0.1,field_1,Unnamed: 0,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,example_for,start_location,distance_start_centroid,distance_start_cinema,geometry
34,34,4,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,195.3,1000.4,Seefeld,POINT (11.21416939103352 48.03830311522795),685059.7505979025,1109.8140384533217,
35,35,5,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,185.5,1443.7,Seefeld,POINT (11.190967916627224 48.03856710004811),684746.9098409954,1304.9405964089617,
36,36,6,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,179.4,1280.2,Seefeld,POINT (11.217026799190153 48.040064833367325),684901.796301287,1398.2234489852638,
37,37,7,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,69.9,304.7,Seefeld,POINT (11.2081778 48.032710249999994),685599.4410835549,358.9003417730743,
38,38,8,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,162.6,1176.3,Seefeld,POINT (11.217212096973185 48.03898341766858),685022.6610243142,1323.17858539099,
39,39,9,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,46.9,263.0,Seefeld,POINT (11.2055685 48.033214199999996),685512.1914469125,277.79006255321315,
40,40,0,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,181.1,1313.7,Seefeld,POINT (11.192154779923612 48.04048913212365),684550.5074518459,1395.1593406831507,
41,41,1,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,168.1,1304.9,Seefeld,POINT (11.21895715 48.03881385),685062.7955705321,1409.4743076013635,
42,42,2,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,295.4,1676.6,Seefeld,POINT (11.2002431 48.0452914),684122.4405021168,1628.271768785346,
43,43,3,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,263.2,2012.5,Seefeld,POINT (11.233621499999998 48.03767169999999),685369.8564028217,2319.693486126412,
44,44,4,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,261.1,2197.5,Seefeld,POINT (11.1759369 48.04170335000001),684220.8778137278,2426.606506624885,
45,45,5,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,282.9,1657.1,Seefeld,POINT (11.203319337895708 48.04555390165306),684131.3104727226,1631.7835401339123,
46,46,6,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,173.4,1267.5,Seefeld,POINT (11.19579919542219 48.04213791463003),684414.0457585132,1398.889913114229,
47,47,7,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,194.4,1123.9,Seefeld,POINT (11.195491455166014 48.03971841835099),684675.6806267158,1177.1575923520102,
48,48,8,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,318.4,1763.4,Seefeld,POINT (11.2063599949415 48.04642293201212),684073.2965168373,1734.539271002498,
49,49,9,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,196.6,805.6,Seefeld,POINT (11.211361072961148 48.03832293685503),685023.0167085439,983.8345846399234,
50,50,0,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,318.9,1959.8,Seefeld,POINT (11.181753844827455 48.03272416833706),685276.2470186264,1686.5756441217604,
51,51,1,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,213.5,1555.0,Seefeld,POINT (11.188576935541043 48.035683882506994),685034.1565617566,1281.469769906722,
52,52,2,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,152.2,2036.6,Seefeld,POINT (11.227466916271451 48.02280375109329),686923.4520452194,1954.0736612408712,
53,53,3,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,221.4,1268.6,Seefeld,POINT (11.192564810764601 48.03452875324511),685209.3118632875,957.6460946165656,
54,54,4,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,267.4,2216.6,Seefeld,POINT (11.175585885579803 48.04113530654272),684278.9722239207,2419.010683177085,
55,55,5,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,206.3,1356.8,Seefeld,POINT (11.190695723702971 48.03630015277552),684992.2781475406,1173.2909745716306,
56,56,6,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,241.0,1619.3,Seefeld,POINT (11.190695340986421 48.017696355186374),687033.1366405486,1779.5383664436515,
57,57,7,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,234.8,1455.9,Seefeld,POINT (11.217554724053867 48.041174856131086),684786.5975213507,1516.2066892806165,
58,58,8,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,77.7,355.6,Seefeld,POINT (11.20665140842454 48.03439321651501),685396.1542515024,430.2033267098168,
59,59,9,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,184.6,1422.1,Seefeld,POINT (11.189800630835972 48.038062941172775),684788.0309037414,1337.807035595033,
60,60,0,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,224.1,1701.8,Seefeld,POINT (11.184854349851125 48.038592805342645),684669.9070378441,1677.9502783960102,
61,61,1,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,170.9,2126.7,Seefeld,POINT (11.229253000000002 48.021795399999995),687056.132388996,2124.2880821772187,
62,62,2,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,234.0,1058.7,Seefeld,POINT (11.213606466581568 48.03947468154609),684924.3477954284,1184.380161550313,
63,63,3,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,320.9,1770.9,Seefeld,POINT (11.205846967873738 48.04644388911794),684064.7013849375,1733.736806442423,
64,64,4,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,280.5,1954.0,Seefeld,POINT (11.18215555 48.0340574),685134.8281928631,1681.519781049479,
65,65,5,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,200.9,1156.3,Seefeld,POINT (11.195870293276782 48.03984381733008),684666.5440616185,1173.6088411496569,
66,66,6,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,341.0,2016.2,Seefeld,POINT (11.182053349143343 48.031423333112365),685422.5851003235,1652.9453248419177,
67,67,7,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,139.6,1243.9,Seefeld,POINT (11.219556506318916 48.03680900661415),685290.0255223283,1320.5692254639166,
68,68,8,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,93.2,370.5,Seefeld,POINT (11.209646088264753 48.030049671907896),685909.2362699229,416.45896422129454,
69,69,9,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,247.5,1672.8,Seefeld,POINT (11.188044683778356 48.03424637761592),685185.3967960166,1261.5212505878108,
70,70,0,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,67.1,264.3,Seefeld,POINT (11.20809900970375 48.03163320360172),685716.5941999553,302.02136168036924,
71,71,1,0.0,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,48.3,371.4,Seefeld,POINT (11.209290999999999 48.0332636),685552.4143797859,462.1681261918099,
