,variable,dependent,correlation,p_value
37,15_total_duration,average speed,-0.0469107405860545,0.6379686394842623
38,15_total_changes,average speed,0.1648525704460865,0.09610078872726284
39,18_total_duration,average speed,-0.09119868140030077,0.35957205582462304
40,18_total_changes,average speed,0.24607270129079806,0.012226471788049626
41,21_total_duration,average speed,-0.2635680129178505,0.007144816755412453
42,21_total_changes,average speed,-0.029298662866013715,0.768923638978111
43,car_duration,average speed,0.35191750721077764,0.000267062986257245
44,foot_duration,average speed,0.4082228683736461,1.8649896393252855e-05
45,distance_start_centroid,average speed,0.42240452247979177,8.81050469093612e-06
46,distance_start_cinema,average speed,0.40713994821797767,1.9721725405646944e-05
47,average duration,average speed,-0.16681891043241215,0.0921453059219462
48,15_speed,average speed,0.981566972079736,2.080651174617983e-74
49,18_speed,average speed,0.9799654034431233,1.3441536709057023e-72
50,21_speed,average speed,0.9671848271971017,6.5141453937284956e-62
51,average duration difference to car,average speed,-0.21605831736676925,0.028383062351322565
52,15_trip_duration,average speed,0.003761699539600462,0.9699178762895435
53,15_transit_dur,average speed,0.25242666763228727,0.010100022164258565
54,15_walk_share,average speed,-0.531225897529001,7.788026897317176e-09
55,18_trip_duration,average speed,0.016339373073979147,0.8698778356733081
56,18_transit_dur,average speed,0.3116511352826446,0.0013528975614927855
57,18_walk_share,average speed,-0.6300402578461337,1.0022196381780148e-12
58,21_trip_duration,average speed,-0.0074998342496730985,0.9400658257705727
59,21_transit_dur,average speed,0.06080551530072636,0.5417676035901782
60,21_walk_share,average speed,-0.556212461814273,1.0624934185507503e-09
61,average transit duration,average speed,0.1885073719896861,0.05653016242365427
62,population,average speed,0.09691296427188754,0.6760181973116451
63,population aggr,average speed,,
64,population density,average speed,,
65,built-up area,average speed,,
66,transit departures,average speed,,
67,transit stops,average speed,,
68,15 transit is reasonable,average speed,0.4923355104295194,1.2764650138960476e-07
69,18 transit is reasonable,average speed,0.4466349540569194,2.2564369956788327e-06
70,21 transit is reasonable,average speed,0.5657368705945266,4.757376973243671e-10
71,average changes,average speed,0.11638862448238493,0.2416857792324731
72,area average changes,average speed,,
73,level_dummy,average speed,,
74,15_total_duration,15 transit is reasonable,0.030290303766415283,0.7613328576008791
75,15_total_changes,15 transit is reasonable,0.08118894175774037,0.41491843805287537
76,18_total_duration,15 transit is reasonable,0.0654005936224513,0.5116013550785302
77,18_total_changes,15 transit is reasonable,0.10021879693689219,0.31382176020957125
78,21_total_duration,15 transit is reasonable,0.04096311739290698,0.681197865551737
79,21_total_changes,15 transit is reasonable,-0.046022241083199106,0.6443544422645806
80,car_duration,15 transit is reasonable,0.20366088891934422,0.03811412454578216
81,foot_duration,15 transit is reasonable,0.23027805011750802,0.018687842932492718
82,distance_start_centroid,15 transit is reasonable,0.24694667755076208,0.011497483359722067
83,distance_start_cinema,15 transit is reasonable,0.21095562722228958,0.03158803988233328
84,average duration,15 transit is reasonable,0.04322913848769563,0.6645961566775203
85,15_speed,15 transit is reasonable,0.5052982878436849,5.222704474464463e-08
86,18_speed,15 transit is reasonable,0.46537783457413195,7.304741543853556e-07
87,21_speed,15 transit is reasonable,0.467589658209043,6.365882908252195e-07
88,average speed,15 transit is reasonable,0.4923355104295194,1.2764650138960476e-07
89,average duration difference to car,15 transit is reasonable,0.012209339503064664,0.9025794106306979
90,15_trip_duration,15 transit is reasonable,-0.04564228956868758,0.6454616215408424
91,15_transit_dur,15 transit is reasonable,0.19280120175959942,0.051034888076329527
92,15_walk_share,15 transit is reasonable,-0.23434339012254884,0.017191886537412486
93,18_trip_duration,15 transit is reasonable,-0.034647920992763634,0.7269578086943173
94,18_transit_dur,15 transit is reasonable,0.21814774496005807,0.026851389262527968
95,18_walk_share,15 transit is reasonable,-0.26061412964289893,0.007842484511459576
96,21_trip_duration,15 transit is reasonable,-0.03363050394776233,0.7346730604600262
97,21_transit_dur,15 transit is reasonable,0.15725857601736204,0.11264632396207988
98,21_walk_share,15 transit is reasonable,-0.2391041200245959,0.014998328259324008
99,average transit duration,15 transit is reasonable,0.18653180093198024,0.05921670698513859
100,population,15 transit is reasonable,-0.05810269543570401,0.80245820750777
101,population aggr,15 transit is reasonable,,
102,population density,15 transit is reasonable,,
103,built-up area,15 transit is reasonable,,
104,transit departures,15 transit is reasonable,,
105,transit stops,15 transit is reasonable,,
106,18 transit is reasonable,15 transit is reasonable,0.8660982067327435,1.7433854925916267e-32
107,21 transit is reasonable,15 transit is reasonable,0.8466896246061998,1.0410112640952644e-29
108,average changes,15 transit is reasonable,0.0348080256242162,0.72704622827533
109,area average changes,15 transit is reasonable,,
110,level_dummy,15 transit is reasonable,,
