,variable,dependent,correlation,p_value
40,18_total_changes,average speed,0.09892124559554501,0.3177641419139256
41,21_total_duration,average speed,0.06950580954942616,0.48323777899107306
42,21_total_changes,average speed,0.006676779413162722,0.9463684732119448
43,car_duration,average speed,0.6003053258432023,1.6351958020642337e-11
44,foot_duration,average speed,0.687397136387009,7.718729632907733e-16
45,distance_start_centroid,average speed,0.6684994562087796,8.907883713156812e-15
46,distance_start_cinema,average speed,0.6669658911010581,1.0779338604569079e-14
47,average duration,average speed,0.03869177060269345,0.6965681347700995
48,15_speed,average speed,0.9616702036958671,3.958205722059104e-59
49,18_speed,average speed,0.8587092849489201,2.2224604861465307e-31
50,21_speed,average speed,0.9341086081085574,1.9785947687656857e-47
51,average duration difference to car,average speed,-0.005908346080354097,0.952533301823043
52,15_trip_duration,average speed,0.3568514462959787,0.0002004858901911894
53,15_transit_dur,average speed,0.3396218121595629,0.00042020548656241606
54,15_walk_share,average speed,-0.5421197254077821,2.7882469126745113e-09
55,18_trip_duration,average speed,0.3396213893492594,0.00042021290088240247
56,18_transit_dur,average speed,0.4753962663207112,3.4037999237171417e-07
57,18_walk_share,average speed,-0.5104586708519024,3.0993937221871846e-08
58,21_trip_duration,average speed,0.4173619935784903,1.0446260159221387e-05
59,21_transit_dur,average speed,0.421886832713669,8.17741463002397e-06
60,21_walk_share,average speed,-0.6870400899387901,8.097652898274718e-16
61,average transit duration,average speed,0.36579271493731,0.00013426534243997926
62,population,average speed,-0.259790947762612,0.19995812744676827
63,population aggr,average speed,,
64,population density,average speed,,
65,built-up area,average speed,,
66,transit departures,average speed,,
67,transit stops,average speed,,
68,15 transit is reasonable,average speed,0.4262525804461347,6.434990090313112e-06
69,18 transit is reasonable,average speed,0.39640669940631384,3.103928609069479e-05
70,21 transit is reasonable,average speed,0.06938921237073895,0.4839737847341548
71,average changes,average speed,0.020395063955997206,0.8371836760769932
72,area average changes,average speed,,
73,level_dummy,average speed,,
74,15_total_duration,15 transit is reasonable,-0.04287042641673224,0.665662187586306
75,15_total_changes,15 transit is reasonable,-0.0023108089594689497,0.9814261852307459
76,18_total_duration,15 transit is reasonable,-0.09889462828088298,0.3178950190192361
77,18_total_changes,15 transit is reasonable,-0.06113683371850159,0.5375530499042593
78,21_total_duration,15 transit is reasonable,-0.010256029020341574,0.9177010858188978
79,21_total_changes,15 transit is reasonable,0.0006995788966105854,0.9943764718320731
80,car_duration,15 transit is reasonable,0.2667290010414062,0.006200070122353356
81,foot_duration,15 transit is reasonable,0.24152305979079056,0.013512232295827898
82,distance_start_centroid,15 transit is reasonable,0.3055735529696362,0.0016083025683805978
83,distance_start_cinema,15 transit is reasonable,0.25255953557395433,0.009693980678448457
84,average duration,15 transit is reasonable,-0.02020505914386078,0.8386798770589116
85,15_speed,15 transit is reasonable,0.43264300722356347,4.503889331516176e-06
86,18_speed,15 transit is reasonable,0.5533056247628435,1.1200617152253156e-09
87,21_speed,15 transit is reasonable,0.43593421870626653,3.7371794977074377e-06
88,average speed,15 transit is reasonable,0.4262525804461347,6.434990090313112e-06
89,average duration difference to car,15 transit is reasonable,-0.04113432960802174,0.6784384021066316
90,15_trip_duration,15 transit is reasonable,-0.05653296756114465,0.5686685021326199
91,15_transit_dur,15 transit is reasonable,0.14302845198455655,0.1474943143722848
92,15_walk_share,15 transit is reasonable,-0.2535255984525096,0.009410008822289298
93,18_trip_duration,15 transit is reasonable,-0.011867319124865286,0.9048278529673213
94,18_transit_dur,15 transit is reasonable,0.0013653341362064864,0.9890250848097829
95,18_walk_share,15 transit is reasonable,-0.22532765712214048,0.021460275558906852
96,21_trip_duration,15 transit is reasonable,-0.011127643316882619,0.9107345602672855
97,21_transit_dur,15 transit is reasonable,0.17979856485004134,0.0677982361802238
98,21_walk_share,15 transit is reasonable,-0.3111855856850907,0.0013028388123919171
99,average transit duration,15 transit is reasonable,0.16488214672699597,0.09440201534500618
100,population,15 transit is reasonable,-0.2904619891287023,0.15001449743038764
101,population aggr,15 transit is reasonable,,
102,population density,15 transit is reasonable,,
103,built-up area,15 transit is reasonable,,
104,transit departures,15 transit is reasonable,,
105,transit stops,15 transit is reasonable,,
106,18 transit is reasonable,15 transit is reasonable,0.7857414890208274,5.24004299071729e-23
107,21 transit is reasonable,15 transit is reasonable,0.5360263555523292,4.519257544015305e-09
108,average changes,15 transit is reasonable,-0.025122978138934944,0.8001534526144046
109,area average changes,15 transit is reasonable,,
110,level_dummy,15 transit is reasonable,,
