,group,osm_cinemas,likely count,possible count
0,men,2,0,0
0,men,2,0,0
0,children 10-17,2,2,2
0,children 10-17,2,2,2
0,children 10-17,2,1,2
0,children 10-17,2,2,2
0,children 10-17,2,2,2
0,children 10-17,2,2,2
0,children 10-17,2,1,2
0,children 10-17,2,2,2
0,children 10-17,2,2,2
0,children 10-17,2,1,2
0,children 10-17,2,2,2
0,children 10-17,2,2,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,2,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,2,2
0,children 10-17,2,2,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,2,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,2,2
0,children 10-17,2,2,2
0,children 10-17,2,2,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,2,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,2,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,2,2
0,children 10-17,2,2,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,2,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,2,2
0,children 10-17,2,1,2
0,children 10-17,2,2,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,2,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,2,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,0,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,2,2
0,children 10-17,2,2,2
0,children 10-17,2,2,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,2,2
0,children 10-17,2,1,2
0,children 10-17,2,2,2
0,children 10-17,2,1,2
0,children 10-17,2,2,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,0,2
0,children 10-17,2,1,2
0,children 10-17,2,1,2
0,children 10-17,2,2,2
0,children 10-17,2,2,2
0,children 10-17,2,0,2
0,children 10-17,2,1,2
0,children 10-17,2,0,0
0,children 10-17,2,0,0
0,45-64,2,1,2
0,45-64,2,0,2
0,45-64,2,1,2
0,45-64,2,1,2
0,45-64,2,1,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,1,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,1,2
0,45-64,2,1,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,1,2
0,45-64,2,0,2
0,45-64,2,1,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,1,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,1,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,1,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,1,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,0,2
0,45-64,2,1,2
0,45-64,2,0,2
0,45-64,2,0,2
