,group,osm_cinemas,likely count,possible count
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,1,1
0,65 and over,1,1,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,1,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,1,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,1,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,1,1
0,65 and over,1,0,1
0,65 and over,1,1,1
0,65 and over,1,1,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,1,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
0,65 and over,1,0,1
