,group,average travel time,average visit time,average likely,average possible,15 travel time,15 visit time,15 mode,15 likely,15 possible,18 travel time,18 visit time,18 mode,18 likely,18 possible,21 travel time,21 visit time,21 mode,21 likely,21 possible
12,women,1619.2,8638.4,no,yes,1619.2,8638.4,transit,no,yes,1619.2,8638.4,transit,no,yes,1619.2,8638.4,transit,no,yes
13,women,1230.3,7860.6,no,yes,1230.3,7860.6,foot,no,yes,1230.3,7860.6,foot,no,yes,1230.3,7860.6,foot,no,yes
14,women,126.7,5653.4,yes,yes,126.7,5653.4,foot,yes,yes,126.7,5653.4,foot,yes,yes,126.7,5653.4,foot,yes,yes
15,women,2779.0,10958.0,no,yes,2779.0,10958.0,transit,no,yes,2779.0,10958.0,transit,no,yes,2779.0,10958.0,transit,no,yes
16,women,1262.4,7924.8,no,yes,1262.4,7924.8,transit,no,yes,1262.4,7924.8,transit,no,yes,1262.4,7924.8,transit,no,yes
17,women,1130.7,7661.4,no,yes,1130.7,7661.4,foot,no,yes,1130.7,7661.4,foot,no,yes,1130.7,7661.4,foot,no,yes
18,women,1451.2,8302.4,no,yes,1451.2,8302.4,transit,no,yes,1451.2,8302.4,transit,no,yes,1451.2,8302.4,transit,no,yes
19,women,559.3,6518.6,yes,yes,559.3,6518.6,foot,yes,yes,559.3,6518.6,foot,yes,yes,559.3,6518.6,foot,yes,yes
20,women,1153.6,7707.2,no,yes,1153.6,7707.2,transit,no,yes,1153.6,7707.2,transit,no,yes,1153.6,7707.2,transit,no,yes
21,women,1070.8,7541.6,no,yes,1070.8,7541.6,foot,no,yes,1070.8,7541.6,foot,no,yes,1070.8,7541.6,foot,no,yes
22,women,299.0,5998.0,yes,yes,299.0,5998.0,foot,yes,yes,299.0,5998.0,foot,yes,yes,299.0,5998.0,foot,yes,yes
23,women,1858.0,9116.0,no,yes,1858.0,9116.0,transit,no,yes,1858.0,9116.0,transit,no,yes,1858.0,9116.0,transit,no,yes
24,women,2226.6,9853.2,no,yes,2226.6,9853.2,transit,no,yes,2226.6,9853.2,transit,no,yes,2226.6,9853.2,transit,no,yes
