,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,area,start_location,distance_start_centroid,distance_start_cinema,geometry,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_fastest_mode,15_trip_duration,15_fastest_overall_mode,15_transit_dur,15_walk_share,18_fastest_mode,18_trip_duration,18_fastest_overall_mode,18_transit_dur,18_walk_share,21_fastest_mode,21_trip_duration,21_fastest_overall_mode,21_transit_dur,21_walk_share,average transit duration,average walk share,average changes,15_chosen_route,18_chosen_route,21_chosen_route,average_chosen_route,15_visit_time,15_likely_women,15_possible_women,18_visit_time,18_likely_women,18_possible_women,21_visit_time,21_likely_women,21_possible_women,average_visit_time,average_likely_women,dummy_women,average_possible_women,dummy_possible_women,15_likely_men,15_possible_men,18_likely_men,18_possible_men,21_likely_men,21_possible_men,average_likely_men,dummy_men,average_possible_men,15_likely_children 10-17,15_possible_children 10-17,18_likely_children 10-17,18_possible_children 10-17,21_likely_children 10-17,21_possible_children 10-17,average_likely_children 10-17,average_possible_children 10-17,15_likely_45-64,15_possible_45-64,18_likely_45-64,18_possible_45-64,21_likely_45-64,21_possible_45-64,average_likely_45-64,average_possible_45-64,15_likely_65 and over,15_possible_65 and over,18_likely_65 and over,18_possible_65 and over,21_likely_65 and over,21_possible_65 and over,average_likely_65 and over,average_possible_65 and over
279,Eden Palast,Eden Palast_Aachen-RotheErde_15.csv,1181.4,94.1,367.3,3,Eden Palast_Aachen-RotheErde_18.csv,1181.4,94.1,367.3,3,Eden Palast_Aachen-RotheErde_21.csv,753.9,227,166.9,0,505.7,1847.3,Aachen,POINT (6.1142625812498235 50.772610288714574),1551.48967605341,2049.29035456823,,3116.7,1.73462870710025,1.73462870710025,2.71825222783954,2.06250321401334,2611,transit,1181.4,car,720,39.0553580497715,transit,1181.4,car,720,39.0553580497715,transit,753.9,car,360,52.2483087942698,1800,43.4530082979376,6,1181.4,1181.4,753.9,1038.9,7762.8,no,yes,7762.8,no,yes,6907.8,no,yes,7477.8,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
280,Apollo Kino,Apollo Kino_AachenKaiserplatzH3-WIBR(Li.47)_15.csv,1086.8,565.3,161.5,0,Apollo Kino_AachenKaiserplatzH3-WIBR(Li.47)_18.csv,1086.8,565.3,161.5,1,Apollo Kino_AachenKaiserplatzH3-WIBR(Li.47)_21.csv,985.8,622.4,123.4,0,418.1,1513.2,Aachen,POINT (6.098624437041576 50.77204653253253),1722.31073097803,1687.75246888202,,3159.4,1.55295589702063,1.55295589702063,1.71206377447963,1.60599185617363,2741.3,transit,1086.8,car,360,66.8752300331248,transit,1086.8,car,360,66.8752300331248,transit,985.8,car,240,75.6542909312234,960,69.8015836658243,1,1086.8,1086.8,985.8,1053.13333333333,7573.6,no,yes,7573.6,no,yes,7371.6,no,yes,7506.26666666667,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
281,Capitol,Capitol_AachenKaiserplatzH3-WIBR(Li.47)_15.csv,875.8,565.3,130.5,0,Capitol_AachenKaiserplatzH3-WIBR(Li.47)_18.csv,875.8,565.3,130.5,0,Capitol_AachenKaiserplatzH3-WIBR(Li.47)_21.csv,955.4,622.4,213,0,309.3,892.6,Aachen,POINT (6.098624437041576 50.77204653253253),1722.31073097803,1057.82019947882,,2707,1.20783306631516,1.20783306631516,1.10720138107475,1.17428917123503,2397.7,transit,875.8,car,180,79.4473624115095,transit,875.8,car,180,79.4473624115095,foot,892.6,car,120,87.4398157839648,480,82.1115135356613,0,875.8,875.8,892.6,881.4,7151.6,no,yes,7151.6,no,yes,7185.2,no,yes,7162.8,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
282,,None_AachenKaiserplatzH3-WIBR(Li.47)_15.csv,1160.1,676.6,183.5,1,None_AachenKaiserplatzH3-WIBR(Li.47)_18.csv,1160.1,676.6,183.5,0,None_AachenKaiserplatzH3-WIBR(Li.47)_21.csv,1225.9,622.4,183.5,0,317.7,855.9,Aachen,POINT (6.098624437041576 50.77204653253253),1722.31073097803,972.540557285571,,3546.1,0.838324762766633,0.838324762766633,0.793327805926724,0.82332577715333,3228.4,foot,855.9,car,300,74.140160331006,foot,855.9,car,300,74.140160331006,foot,855.9,car,420,65.7394567256709,1020,71.3399257958943,1,855.9,855.9,855.9,855.9,7111.8,no,yes,7111.8,no,yes,7111.8,no,yes,7111.8,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
283,Cineplex Aachen,Cineplex Aachen_AachenKaiserplatzH3-WIBR(Li.47)_15.csv,1318,676.6,341.4,1,Cineplex Aachen_AachenKaiserplatzH3-WIBR(Li.47)_18.csv,1318,676.6,341.4,0,Cineplex Aachen_AachenKaiserplatzH3-WIBR(Li.47)_21.csv,1383.8,622.4,341.4,0,247,757,Aachen,POINT (6.098624437041576 50.77204653253253),1722.31073097803,820.091697627348,,4019.8,0.622224353283269,0.622224353283269,0.592637445893444,0.612362050819994,3772.8,foot,757,car,300,77.2382397572079,foot,757,car,300,77.2382397572079,foot,757,car,420,69.6487931782049,1020,74.7084242308736,1,757,757,757,757,6914,no,yes,6914,no,yes,6914,no,yes,6914,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
284,Eden Palast,Eden Palast_AachenKaiserplatzH3-WIBR(Li.47)_15.csv,1343.9,676.6,367.3,0,Eden Palast_AachenKaiserplatzH3-WIBR(Li.47)_18.csv,1343.9,676.6,367.3,0,Eden Palast_AachenKaiserplatzH3-WIBR(Li.47)_21.csv,1061.5,426,275.5,0,338.6,943.9,Aachen,POINT (6.098624437041576 50.77204653253253),1722.31073097803,945.635751285838,,3749.3,0.703650384169833,0.703650384169833,0.890848564565085,0.766049777634917,3410.7,foot,943.9,car,300,77.676910484411,foot,943.9,car,300,77.676910484411,foot,943.9,car,360,66.0857277437588,960,73.8131829041936,0,943.9,943.9,943.9,943.9,7287.8,no,yes,7287.8,no,yes,7287.8,no,yes,7287.8,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
285,Apollo Kino,Apollo Kino_Hansemannplatz-EUGRH5_15.csv,702.5,181,161.5,0,Apollo Kino_Hansemannplatz-EUGRH5_18.csv,702.5,181,161.5,1,Apollo Kino_Hansemannplatz-EUGRH5_21.csv,542.8,179.4,123.4,0,357,998.4,Aachen,POINT (6.094246442270141 50.77651439143351),2307.49173193724,1174.12848525528,,1947.8,1.67135727438474,1.67135727438474,2.16309595662358,1.83527016846435,1590.8,transit,702.5,car,360,48.7544483985765,transit,702.5,car,360,48.7544483985765,transit,542.8,car,240,55.7848194546795,960,51.0979054172775,1,702.5,702.5,542.8,649.266666666667,6805,yes,yes,6805,yes,yes,6485.6,yes,yes,6698.53333333333,yes,1,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
286,Capitol,Capitol_Hansemannplatz-EUGRH5_15.csv,491.5,181,130.5,0,Capitol_Hansemannplatz-EUGRH5_18.csv,491.5,181,130.5,0,Capitol_Hansemannplatz-EUGRH5_21.csv,512.4,179.4,213,0,236.2,456.8,Aachen,POINT (6.094246442270141 50.77651439143351),2307.49173193724,521.368441320047,,1495.4,1.06076997216693,1.06076997216693,1.01750281288065,1.04634758573817,1259.2,foot,456.8,car,180,63.3774160732452,foot,456.8,car,180,63.3774160732452,foot,456.8,car,120,76.5807962529274,480,67.7785427998059,0,456.8,456.8,456.8,456.8,6313.6,yes,yes,6313.6,yes,yes,6313.6,yes,yes,6313.6,yes,1,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
287,,None_Hansemannplatz-EUGRH5_15.csv,717.1,233.6,183.5,1,None_Hansemannplatz-EUGRH5_18.csv,717.1,233.6,183.5,0,None_Hansemannplatz-EUGRH5_21.csv,782.9,179.4,183.5,0,336.6,621.1,Aachen,POINT (6.094246442270141 50.77651439143351),2307.49173193724,757.48422177621,,2217.1,1.05631602534683,1.05631602534683,0.967536367066305,1.02672280591999,1880.5,foot,621.1,car,300,58.1648305675638,foot,621.1,car,300,58.1648305675638,foot,621.1,car,420,46.3533018265423,1020,54.2276543205567,1,621.1,621.1,621.1,621.1,6642.2,yes,yes,6642.2,yes,yes,6642.2,yes,yes,6642.2,yes,1,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
288,Cineplex Aachen,Cineplex Aachen_Hansemannplatz-EUGRH5_15.csv,875,233.6,341.4,1,Cineplex Aachen_Hansemannplatz-EUGRH5_18.csv,875,233.6,341.4,0,Cineplex Aachen_Hansemannplatz-EUGRH5_21.csv,940.8,179.4,341.4,0,265.9,664.4,Aachen,POINT (6.094246442270141 50.77651439143351),2307.49173193724,759.847237540216,,2690.8,0.868396842903104,0.868396842903104,0.807660754188155,0.848151479998121,2424.9,foot,664.4,car,300,65.7142857142857,foot,664.4,car,300,65.7142857142857,foot,664.4,car,420,55.3571428571429,1020,62.2619047619048,1,664.4,664.4,664.4,664.4,6728.8,yes,yes,6728.8,yes,yes,6728.8,yes,yes,6728.8,yes,1,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
289,Eden Palast,Eden Palast_Hansemannplatz-EUGRH5_15.csv,900.9,233.6,367.3,0,Eden Palast_Hansemannplatz-EUGRH5_18.csv,900.9,233.6,367.3,0,Eden Palast_Hansemannplatz-EUGRH5_21.csv,785.8,150.3,275.5,0,357.6,851.3,Aachen,POINT (6.094246442270141 50.77651439143351),2307.49173193724,883.044324311513,,2587.6,0.98018018016596,0.98018018016596,1.12375200345064,1.02803745459419,2230,foot,851.3,car,300,66.6999666999667,foot,851.3,car,300,66.6999666999667,transit,785.8,car,360,54.1868159837109,960,62.5289164612148,0,851.3,851.3,785.8,829.466666666667,7102.6,no,yes,7102.6,no,yes,6971.6,no,yes,7058.93333333333,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
290,Apollo Kino,Apollo Kino_TechnischeHochschule-PON_15.csv,663.5,527.7,75.8,0,Apollo Kino_TechnischeHochschule-PON_18.csv,663.5,527.7,75.8,0,Apollo Kino_TechnischeHochschule-PON_21.csv,633.4,307.6,145.8,0,421,711.8,Aachen,POINT (6.08156322187107 50.77362091553235),2665.89317330954,806.953040831835,,1960.4,1.21620654232379,1.21620654232379,1.27400227475819,1.23547178646859,1539.4,transit,663.5,car,60,90.9570459683497,transit,663.5,car,60,90.9570459683497,transit,633.4,car,180,71.5819387432902,300,84.4986768933299,0,663.5,663.5,633.4,653.466666666667,6727,yes,yes,6727,yes,yes,6666.8,yes,yes,6706.93333333333,yes,1,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
291,Capitol,Capitol_TechnischeHochschule-PON_15.csv,707.1,307.6,99.5,0,Capitol_TechnischeHochschule-PON_18.csv,653.5,134,99.5,0,Capitol_TechnischeHochschule-PON_21.csv,707.1,307.6,99.5,0,300.2,583,Aachen,POINT (6.08156322187107 50.77362091553235),2665.89317330954,677.834872098564,,2067.7,0.958612462308816,1.0372377537851,0.958612462308816,0.984820892800911,1767.5,foot,583,car,300,57.5731862537123,foot,583,car,420,35.7306809487376,foot,583,car,300,57.5731862537123,1020,50.2923511520541,0,583,583,583,583,6566,yes,yes,6566,yes,yes,6566,yes,yes,6566,yes,1,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
292,,None_TechnischeHochschule-PON_15.csv,426.7,134,172.7,0,None_TechnischeHochschule-PON_18.csv,426.7,134,172.7,0,None_TechnischeHochschule-PON_21.csv,426.7,134,172.7,0,195.9,266.3,Aachen,POINT (6.08156322187107 50.77362091553235),2665.89317330954,244.938956504738,,1280.1,0.57403083314914,0.57403083314914,0.57403083314914,0.57403083314914,1084.2,foot,266.3,car,120,71.877197093977,foot,266.3,car,120,71.877197093977,foot,266.3,car,120,71.877197093977,360,71.877197093977,0,266.3,266.3,266.3,266.3,5932.6,yes,yes,5932.6,yes,yes,5932.6,yes,yes,5932.6,yes,1,yes,1,yes,yes,yes,yes,yes,yes,yes,1,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes
293,Cineplex Aachen,Cineplex Aachen_TechnischeHochschule-PON_15.csv,424,134,170,0,Cineplex Aachen_TechnischeHochschule-PON_18.csv,424,134,170,0,Cineplex Aachen_TechnischeHochschule-PON_21.csv,424,134,170,0,205.3,465.1,Aachen,POINT (6.08156322187107 50.77362091553235),2665.89317330954,456.308485839442,,1272,1.07619925905529,1.07619925905529,1.07619925905529,1.07619925905529,1066.7,transit,424,car,120,71.6981132075472,transit,424,car,120,71.6981132075472,transit,424,car,120,71.6981132075472,360,71.6981132075472,0,424,424,424,424,6248,yes,yes,6248,yes,yes,6248,yes,yes,6248,yes,1,yes,1,yes,yes,yes,yes,yes,yes,yes,1,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
294,Eden Palast,Eden Palast_TechnischeHochschule-PON_15.csv,1249,527.7,121.3,2,Eden Palast_TechnischeHochschule-PON_18.csv,1498.6,134,224.6,1,Eden Palast_TechnischeHochschule-PON_21.csv,1318.6,134,224.6,0,168.9,433.4,Aachen,POINT (6.08156322187107 50.77362091553235),2665.89317330954,399.611824087077,,4066.2,0.319945415602143,0.266656762369596,0.303057655154768,0.296553277708836,3897.3,foot,433.4,car,600,51.9615692554043,foot,433.4,car,1140,23.9290004003737,foot,433.4,car,960,27.1955103898074,2700,34.3620266818618,3,433.4,433.4,433.4,433.4,6266.8,yes,yes,6266.8,yes,yes,6266.8,yes,yes,6266.8,yes,1,yes,1,yes,yes,yes,yes,yes,yes,yes,1,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
295,Apollo Kino,Apollo Kino_Viktoriaalleelw(Li.33)_15.csv,785.8,230,75.8,1,Apollo Kino_Viktoriaalleelw(Li.33)_18.csv,785.8,230,75.8,1,Apollo Kino_Viktoriaalleelw(Li.33)_21.csv,855.8,230,145.8,1,462.6,1721,Aachen,POINT (6.103199435754474 50.77246248903652),1622.98832474572,1939.4463127806,,2427.4,2.46811696714253,2.46811696714253,2.26623780413718,2.40082391280741,1964.8,transit,785.8,car,480,38.9157546449478,transit,785.8,car,480,38.9157546449478,transit,855.8,car,480,43.9121290021033,1440,40.5812127639997,3,785.8,785.8,855.8,809.133333333333,6971.6,no,yes,6971.6,no,yes,7111.6,no,yes,7018.26666666667,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
296,Capitol,Capitol_Viktoriaalleelw(Li.33)_15.csv,689.5,230,99.5,2,Capitol_Viktoriaalleelw(Li.33)_18.csv,689.5,230,99.5,2,Capitol_Viktoriaalleelw(Li.33)_21.csv,629.5,230,99.5,0,353.8,1100.4,Aachen,POINT (6.103199435754474 50.77246248903652),1622.98832474572,1290.98393299822,,2008.5,1.87234798114318,1.87234798114318,2.05080847180019,1.93183481136218,1654.7,transit,689.5,car,360,47.7882523567803,transit,689.5,car,360,47.7882523567803,transit,629.5,car,300,52.3431294678316,1020,49.3065447271307,4,689.5,689.5,629.5,669.5,6779,yes,yes,6779,yes,yes,6659,yes,yes,6739,yes,1,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
297,,None_Viktoriaalleelw(Li.33)_15.csv,953.5,230,183.5,2,None_Viktoriaalleelw(Li.33)_18.csv,953.5,230,183.5,2,None_Viktoriaalleelw(Li.33)_21.csv,1013.5,230,183.5,0,332.8,1063.7,Aachen,POINT (6.103199435754474 50.77246248903652),1622.98832474572,1290.0404557423,,2920.5,1.35295275903755,1.35295275903755,1.27285688775757,1.32625413527755,2587.7,transit,953.5,car,540,43.3665443104352,transit,953.5,car,540,43.3665443104352,transit,1013.5,car,600,40.7992106561421,1680,42.5107664256709,4,953.5,953.5,1013.5,973.5,7307,no,yes,7307,no,yes,7427,no,yes,7347,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
298,Cineplex Aachen,Cineplex Aachen_Viktoriaalleelw(Li.33)_15.csv,926.5,336.5,170,0,Cineplex Aachen_Viktoriaalleelw(Li.33)_18.csv,926.5,336.5,170,0,Cineplex Aachen_Viktoriaalleelw(Li.33)_21.csv,806.5,336.5,170,0,262,964.8,Aachen,POINT (6.103199435754474 50.77246248903652),1622.98832474572,1145.73347531226,,2659.5,1.23662544556099,1.23662544556099,1.42062427193089,1.29795838768429,2397.5,transit,926.5,car,420,54.6681057744199,transit,926.5,car,420,54.6681057744199,transit,806.5,car,300,62.802231866088,1140,57.3794811383093,0,926.5,926.5,806.5,886.5,7253,no,yes,7253,no,yes,7013,no,yes,7173,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
299,Eden Palast,Eden Palast_Viktoriaalleelw(Li.33)_15.csv,891.3,230,121.3,3,Eden Palast_Viktoriaalleelw(Li.33)_18.csv,877.8,336.5,121.3,0,Eden Palast_Viktoriaalleelw(Li.33)_21.csv,757.8,336.5,121.3,0,353.7,1151.7,Aachen,POINT (6.103199435754474 50.77246248903652),1622.98832474572,1271.67927761763,,2526.9,1.42676907620064,1.44871186787153,1.67811992295808,1.51786695567675,2173.2,transit,891.3,car,540,39.4143386065298,transit,877.8,car,420,52.1531100478469,transit,757.8,car,300,60.4117181314331,1260,50.6597222619366,3,891.3,877.8,757.8,842.3,7182.6,no,yes,7155.6,no,yes,6915.6,no,yes,7084.6,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
300,Apollo Kino,Apollo Kino_EilendorfRathauslw_15.csv,1716.9,213.5,123.4,4,Apollo Kino_EilendorfRathauslw_18.csv,1716.9,213.5,123.4,3,Apollo Kino_EilendorfRathauslw_21.csv,1755,213.5,161.5,2,936.5,4242,Aachen,POINT (6.14794880598732 50.779470280062746),3463.37546243154,4868.46213006503,,5188.8,2.83561193433807,2.83561193433807,2.77405249576355,2.8150921214799,4252.3,transit,1716.9,car,1380,19.6225755722523,transit,1716.9,car,1380,19.6225755722523,transit,1755,car,1380,21.3675213675214,4140,20.2042241706753,9,1716.9,1716.9,1755,1729.6,8833.8,no,yes,8833.8,no,yes,8910,no,yes,8859.2,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
301,Capitol,Capitol_EilendorfRathauslw_15.csv,1750.4,277.4,213,2,Capitol_EilendorfRathauslw_18.csv,1750.4,277.4,213,2,Capitol_EilendorfRathauslw_21.csv,1484,213.5,130.5,1,860.1,3751.8,Aachen,POINT (6.14794880598732 50.779470280062746),3463.37546243154,4266.18764954217,,4984.8,2.43726442501267,2.43726442501267,2.87478952125483,2.58310612376005,4124.7,transit,1750.4,car,1260,28.0164533820841,transit,1750.4,car,1260,28.0164533820841,transit,1484,car,1140,23.1805929919137,3660,26.404499918694,5,1750.4,1750.4,1484,1661.6,8900.8,no,yes,8900.8,no,yes,8368,no,yes,8723.2,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
302,,None_EilendorfRathauslw_15.csv,1708.6,213.5,295.1,1,None_EilendorfRathauslw_18.csv,1708.6,213.5,295.1,1,None_EilendorfRathauslw_21.csv,1777,213.5,183.5,1,817.2,3916.1,Aachen,POINT (6.14794880598732 50.779470280062746),3463.37546243154,4500.48758211712,,5194.2,2.63402059119579,2.63402059119579,2.53263229156844,2.60022449132,4377,transit,1708.6,car,1200,29.7670607514925,transit,1708.6,car,1200,29.7670607514925,transit,1777,car,1380,22.3410241980867,3780,27.2917152336905,3,1708.6,1708.6,1777,1731.4,8817.2,no,yes,8817.2,no,yes,8954,no,yes,8862.8,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
303,Cineplex Aachen,Cineplex Aachen_EilendorfRathauslw_15.csv,1590.2,213.5,176.7,1,Cineplex Aachen_EilendorfRathauslw_18.csv,1590.2,213.5,176.7,1,Cineplex Aachen_EilendorfRathauslw_21.csv,1934.9,213.5,341.4,1,746.5,3714.1,Aachen,POINT (6.14794880598732 50.779470280062746),3463.37546243154,4388.67090861901,,5115.3,2.7598232352025,2.7598232352025,2.26816419898652,2.59593688979717,4368.8,transit,1590.2,car,1200,24.5377939881776,transit,1590.2,car,1200,24.5377939881776,transit,1934.9,car,1380,28.6784846762106,3780,25.9180242175219,3,1590.2,1590.2,1934.9,1705.1,8580.4,no,yes,8580.4,no,yes,9269.8,no,yes,8810.2,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
304,Eden Palast,Eden Palast_EilendorfRathauslw_15.csv,1777.1,213.5,363.6,1,Eden Palast_EilendorfRathauslw_18.csv,1777.1,213.5,363.6,1,Eden Palast_EilendorfRathauslw_21.csv,1834.8,213.5,121.3,2,838.1,3901,Aachen,POINT (6.14794880598732 50.779470280062746),3463.37546243154,4517.83578406451,,5389,2.5422518620587,2.5422518620587,2.46230422065866,2.51560264825868,4550.9,transit,1777.1,car,1200,32.4742558100276,transit,1777.1,car,1200,32.4742558100276,transit,1834.8,car,1500,18.2472204054938,3900,27.731910675183,4,1777.1,1777.1,1834.8,1796.33333333333,8954.2,no,yes,8954.2,no,yes,9069.6,no,yes,8992.66666666667,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
305,Apollo Kino,Apollo Kino_BahnhofRotheErdeH1(sw)_15.csv,1002.3,162.1,180.2,1,Apollo Kino_BahnhofRotheErdeH1(sw)_18.csv,1002.3,162.1,180.2,1,Apollo Kino_BahnhofRotheErdeH1(sw)_21.csv,1002.3,162.1,180.2,1,532.6,2275.6,Aachen,POINT (6.113781043354965 50.77125529542005),1397.56452450848,2671.28145412297,,3006.9,2.66515160543048,2.66515160543048,2.66515160543048,2.66515160543048,2474.3,transit,1002.3,car,660,34.1514516611793,transit,1002.3,car,660,34.1514516611793,transit,1002.3,car,660,34.1514516611793,1980,34.1514516611793,3,1002.3,1002.3,1002.3,1002.3,7404.6,no,yes,7404.6,no,yes,7404.6,no,yes,7404.6,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
306,Capitol,Capitol_BahnhofRotheErdeH1(sw)_15.csv,915.1,162.1,213,2,Capitol_BahnhofRotheErdeH1(sw)_18.csv,915.1,162.1,213,2,Capitol_BahnhofRotheErdeH1(sw)_21.csv,854,214.5,99.5,1,423.8,1668.2,Aachen,POINT (6.113781043354965 50.77125529542005),1397.56452450848,2018.47653799144,,2684.2,2.20574422247999,2.20574422247999,2.36355566509536,2.25834803668512,2260.4,transit,915.1,car,540,40.990055731614,transit,915.1,car,540,40.990055731614,transit,854,car,540,36.768149882904,1620,39.582753782044,5,915.1,915.1,854,894.733333333333,7230.2,no,yes,7230.2,no,yes,7108,no,yes,7189.46666666667,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
307,,None_BahnhofRotheErdeH1(sw)_15.csv,785,72.3,172.7,0,None_BahnhofRotheErdeH1(sw)_18.csv,785,72.3,172.7,0,None_BahnhofRotheErdeH1(sw)_21.csv,725,72.3,172.7,0,354.8,1618.2,Aachen,POINT (6.113781043354965 50.77125529542005),1397.56452450848,2045.02770185377,,2295,2.60513083038697,2.60513083038697,2.82072786462589,2.67699650846661,1940.2,transit,785,car,540,31.2101910828025,transit,785,car,540,31.2101910828025,transit,725,car,480,33.7931034482759,1560,32.0711618712937,0,785,785,725,765,6970,no,yes,6970,no,yes,6850,no,yes,6930,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
308,Cineplex Aachen,Cineplex Aachen_BahnhofRotheErdeH1(sw)_15.csv,789,72.3,176.7,0,Cineplex Aachen_BahnhofRotheErdeH1(sw)_18.csv,789,72.3,176.7,0,Cineplex Aachen_BahnhofRotheErdeH1(sw)_21.csv,708.3,72.3,276,0,284,1519.3,Aachen,POINT (6.113781043354965 50.77125529542005),1397.56452450848,1886.71464949128,,2286.3,2.3912733200143,2.3912733200143,2.66372250387022,2.48208971463294,2002.3,transit,789,car,540,31.5589353612167,transit,789,car,540,31.5589353612167,transit,708.3,car,360,49.1740787801779,1440,37.4306498342038,0,789,789,708.3,762.1,6978,no,yes,6978,no,yes,6816.6,yes,yes,6924.2,no,no,yes,1,no,yes,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
