,cinema_name,15_total_route,15_total_duration,15_walk_to,15_walk_from,15_total_changes,18_total_route,18_total_duration,18_walk_to,18_walk_from,18_total_changes,21_total_route,21_total_duration,21_walk_to,21_walk_from,21_total_changes,car_duration,foot_duration,area,start_location,distance_start_centroid,distance_start_cinema,geometry,average duration,15_speed,18_speed,21_speed,average speed,average duration difference to car,15_fastest_mode,15_trip_duration,15_fastest_overall_mode,15_transit_dur,15_walk_share,18_fastest_mode,18_trip_duration,18_fastest_overall_mode,18_transit_dur,18_walk_share,21_fastest_mode,21_trip_duration,21_fastest_overall_mode,21_transit_dur,21_walk_share,average transit duration,average walk share,average changes,15_chosen_route,18_chosen_route,21_chosen_route,average_chosen_route,15_visit_time,15_likely_women,15_possible_women,18_visit_time,18_likely_women,18_possible_women,21_visit_time,21_likely_women,21_possible_women,average_visit_time,average_likely_women,average_possible_women,15_likely_men,15_possible_men,18_likely_men,18_possible_men,21_likely_men,21_possible_men,average_likely_men,average_possible_men,15_likely_children 10-17,15_possible_children 10-17,18_likely_children 10-17,18_possible_children 10-17,21_likely_children 10-17,21_possible_children 10-17,average_likely_children 10-17,average_possible_children 10-17,15_likely_45-64,15_possible_45-64,18_likely_45-64,18_possible_45-64,21_likely_45-64,21_possible_45-64,average_likely_45-64,average_possible_45-64,15_likely_65 and over,15_possible_65 and over,18_likely_65 and over,18_possible_65 and over,21_likely_65 and over,21_possible_65 and over,average_likely_65 and over,average_possible_65 and over
20,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,355.2,1873.7,Seefeld,POINT (11.206269533739023 48.04756874850179),683946.5289203663,1860.8537999896569,,,,,,,,foot,1873.7,car,,,foot,1873.7,car,,,foot,1873.7,car,,,,,,1873.7,1873.7,1873.7,1873.7,9147.4,no,yes,9147.4,no,yes,9147.4,no,yes,9147.4,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
21,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,429.8,1894.0,Seefeld,POINT (11.185346919449236 48.0286741941789),685764.0192095874,1427.703321588372,,,,,,,,foot,1894.0,car,,,foot,1894.0,car,,,foot,1894.0,car,,,,,,1894.0,1894.0,1894.0,1894.0,9188.0,no,yes,9188.0,no,yes,9188.0,no,yes,9188.0,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
22,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,215.6,1455.0,Seefeld,POINT (11.201577060579432 48.04420083655253),684258.3702097202,1492.916189961646,,,,,,,,foot,1455.0,car,,,foot,1455.0,car,,,foot,1455.0,car,,,,,,1455.0,1455.0,1455.0,1455.0,8310.0,no,yes,8310.0,no,yes,8310.0,no,yes,8310.0,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
23,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,199.7,1341.3,Seefeld,POINT (11.21749618943424 48.04036418464202),684874.7649566209,1446.444484739697,,,,,,,,foot,1341.3,car,,,foot,1341.3,car,,,foot,1341.3,car,,,,,,1341.3,1341.3,1341.3,1341.3,8082.6,no,yes,8082.6,no,yes,8082.6,no,yes,8082.6,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
24,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,322.6,1776.2,Seefeld,POINT (11.20459265 48.046839000000006),684005.982276835,1773.5690722840443,,,,,,,,foot,1776.2,car,,,foot,1776.2,car,,,foot,1776.2,car,,,,,,1776.2,1776.2,1776.2,1776.2,8952.4,no,yes,8952.4,no,yes,8952.4,no,yes,8952.4,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
25,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,299.8,2385.6,Seefeld,POINT (11.22324875 48.053464950000006),683509.5519192877,2883.854886779939,,,,,,,,foot,2385.6,car,,,foot,2385.6,car,,,foot,2385.6,car,,,,,,2385.6,2385.6,2385.6,2385.6,10171.2,no,yes,10171.2,no,yes,10171.2,no,yes,10171.2,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
26,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,175.7,1395.4,Seefeld,POINT (11.19064485 48.0377331),684834.4700683939,1265.429606871389,,,,,,,,foot,1395.4,car,,,foot,1395.4,car,,,foot,1395.4,car,,,,,,1395.4,1395.4,1395.4,1395.4000000000003,8190.8,no,yes,8190.8,no,yes,8190.8,no,yes,8190.800000000001,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
27,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,224.2,1569.2,Seefeld,POINT (11.188074116183905 48.03546480235392),685052.0897890391,1305.9833667843975,,,,,,,,foot,1569.2,car,,,foot,1569.2,car,,,foot,1569.2,car,,,,,,1569.2,1569.2,1569.2,1569.2,8538.4,no,yes,8538.4,no,yes,8538.4,no,yes,8538.4,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
28,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,209.6,1083.9,Seefeld,POINT (11.21566675 48.0395207),684944.6872087001,1285.1438607673451,,,,,,,,foot,1083.9,car,,,foot,1083.9,car,,,foot,1083.9,car,,,,,,1083.9,1083.9,1083.9,1083.9,7567.8,no,yes,7567.8,no,yes,7567.8,no,yes,7567.8,no,yes,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
29,Kino Breitwand Schloss Seefeld,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,no routes possible to this cinema,,,,,191.9,2052.4,Seefeld,POINT (11.224945801351714 48.02152978351928),687031.9430099413,1864.4279645188008,,,,,,,,foot,2052.4,car,,,foot,2052.4,car,,,foot,2052.4,car,,,,,,2052.4,2052.4,2052.4,2052.4,9504.8,no,yes,9504.8,no,yes,9504.8,no,yes,9504.8,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes,no,yes
